city,lat,long,make,mileage,model,price,province,sepc,year
Kelowna,49.889326,-119.498291,Acura,28940,Acura NSX,99890,British Columbia,Acura NSX Sport,1991
North York,43.7708175,-79.4132998,Acura,95770,Acura NSX,59950,Ontario,Acura NSX 5SPEED,1991
Calgary,51.02532675,-114.049868485806,Acura,260878,Acura RSX,5995,Alberta,Acura RSX Premium,2002
Calgary,51.02532675,-114.049868485806,Acura,196396,Acura RSX,5995,Alberta,Acura RSX Type-S,2003
Surrey,49.1913033,-122.8491439,Acura,129963,Acura MDX,9995,British Columbia,Acura MDX 5dr 4WD Sport Utility,2004
Brampton,43.6858146,-79.7599337,Acura,260324,Acura TSX,2888,Ontario,Acura TSX 4DR SPORT SDN AUT,2004
Burlington,43.3248924,-79.7966835,Acura,188727,Acura MDX,4288,Ontario,Acura MDX Tech Pkg,2005
Charlottetown,46.234953,-63.132935,Acura,360456,Acura MDX,3470,Prince Edward Island,Acura MDX THIS WHOLESALE WILL BE SOLD AS-TRADED! INQUIRE,2005
Thornhill,43.8161477,-79.4245925,Acura,111897,Acura TL,13998,Ontario,Acura TL Type S 5 SPD at No Accident,2007
Fort Macleod,49.7257568,-113.4053475,Acura,139005,Acura RDX,8778,Alberta,Acura RDX Sport Turbo w,2007
Brossard,45.4554829,-73.4678904,Acura,103819,Acura RDX,8995,Québec,Acura RDX,2007
Toronto,43.653963,-79.387207,Acura,243806,Acura MDX,6995,Ontario,Acura MDX PREMIUM PKG SH-AWD NAVI REAR CAMERA TV-DVD,2007
London,42.9537654,-81.2291529,Acura,113266,Acura CSX,6995,Ontario,Acura CSX Base,2007
London,42.9537654,-81.2291529,Acura,204519,Acura MDX,7995,Ontario,Acura MDX sh-awd,2007
Toronto,43.653963,-79.387207,Acura,124316,Acura TSX,8900,Ontario,Acura TSX Base,2007
North York,43.7708175,-79.4132998,Acura,160926,Acura CSX,7480,Ontario,Acura CSX 4dr Sdn AutoSAFETY INCLNORTH-YORK,2007
Laval,45.60558895,-73.7344173056906,Acura,189890,Acura RDX,4975,Québec,Acura RDX 4dr Technology Pkg,2007
Longueuil,45.5172382,-73.4467466,Acura,143065,Acura CSX,6495,Québec,Acura CSX 2007 Acura CSX - 4dr Sdn Auto TOURING,2007
Nobleton (vaughan),43.9244361,-79.5672218,Acura,142417,Acura TSX,6499,Ontario,Acura TSX LEATHER,2007
London,42.9537654,-81.2291529,Acura,123025,Acura CSX,5995,Ontario,Acura CSX Base,2007
Barrie,44.3893113,-79.6901736,Acura,226887,Acura RDX,5500,Ontario,Acura RDX 4dr,2007
Edmonton,53.535411,-113.507996,Acura,195815,Acura MDX,9950,Alberta,Acura MDX TecH Package LOADED AWD,2007
