city,lat,long,make,mileage,model,price,province,sepc,year
Calgary,51.02532675,-114.049868485806,BMW,19000,BMW 6,39995,Alberta,BMW 6 Series 635CSi 5-SPEED MAUAL,1987
North Vancouver,49.3207133,-123.0737831,BMW,141000,BMW M5,44980,British Columbia,BMW M5 Euro-Spec Sedan,1993
Hamilton,43.2425289,-79.9470423,BMW,82513,BMW Z3,12990,Ontario,BMW Z3 1.9 Low Kilometers,1997
North York,43.7708175,-79.4132998,BMW,82609,BMW M3,29800,Ontario,BMW M3 COUPE E36,1998
Montréal,45.4972159,-73.6103642,BMW,106219,BMW Z3,3500,Québec,BMW Z3 US MILES MOTEUR DEFECTUEUX,1998
Thetford Mines,46.091329,-71.30127,BMW,200892,BMW Z3,7995,Québec,BMW Z3 Z3 2dr Roadster 2.8L,1998
Châteauguay,45.3619066,-73.7524319,BMW,40117,BMW Z3,49995,Québec,BMW Z3 Z3 M coupe ,1999
Vancouver,49.2608724,-123.1139529,BMW,81530,BMW 328,8980,British Columbia,BMW 328 i - Manual Transmission,1999
North York,43.7708175,-79.4132998,BMW,34569,BMW Z3,29800,Ontario,BMW Z3 M ROADSTER,1999
Airdrie,51.28184845,-113.989991054108,BMW,84739,BMW Z3,15888,Alberta,BMW Z3 2.3,2000
North Vancouver,49.3207133,-123.0737831,BMW,138300,BMW 323,6980,British Columbia,BMW 323 Ci Coupe,2000
London,42.9537654,-81.2291529,BMW,267390,BMW X5,2900,Ontario,BMW X5 3.0i,2001
Toronto,43.653963,-79.387207,BMW,239589,BMW X5,1999,Ontario,BMW X5 X5 MODEL,2003
Calgary,51.02532675,-114.049868485806,BMW,241078,BMW 3,12995,Alberta,BMW 3 Series Base,2003
Burlington,43.3248924,-79.7966835,BMW,153347,BMW X5,5788,Ontario,BMW X5 3.0i,2003
100 Mile House,51.6427866,-121.2956943,BMW,277633,BMW X5,6995,British Columbia,BMW X5 4.4i,2003
Calgary,51.02532675,-114.049868485806,BMW,235250,BMW X5,5888,Alberta,BMW X5 3.0i ,2003
Edmonton,53.535411,-113.507996,BMW,132588,BMW Z4,11500,Alberta,BMW Z4 2.5i Automatic,2003
New Westminster,49.205728,-122.9108651,BMW,277240,BMW X5,5995,British Columbia,BMW X5 3.0i TRADE IN SPECIAL !!,2003
Vancouver,49.2608724,-123.1139529,BMW,144320,BMW 325,8980,British Columbia,BMW 325 Ci Cabriolet,2003
Vancouver,49.2608724,-123.1139529,BMW,80400,BMW 525,9980,British Columbia,BMW 525 iA - 80,2003
Vancouver,49.2608724,-123.1139529,BMW,112800,BMW X3,9980,British Columbia,BMW X3 2.5i,2004
Toronto,43.653963,-79.387207,BMW,161707,BMW 330I,7950,Ontario,BMW 330I Ci,2004
North York,43.7708175,-79.4132998,BMW,138236,BMW X5,5800,Ontario,BMW X5 4.4i,2004
Calgary,51.02532675,-114.049868485806,BMW,118489,BMW 325,5888,Alberta,BMW 325 Mechanic special,2004
