city,lat,long,make,mileage,model,price,province,sepc,year
Vancouver,49.2608724,-123.1139529,Buick,93687,Buick Wildcat,29980,British Columbia,Buick Wildcat Convertible,1966
Sherwood Park,53.5256963,-113.2966313,Buick,42909,Buick Regal,34980,Alberta,Buick Regal Grand National 3.8L Turbo,1987
Medicine Hat,50.04303,-110.679016,Buick,136024,Buick LeSabre,3500,Alberta,Buick LeSabre Limited Under $5000,1999
Chilliwack,49.157677,-121.9514307,Buick,92000,Buick Regal,2599,British Columbia,Buick Regal LS,2003
Calgary,51.02532675,-114.049868485806,Buick,120889,Buick Century,3888,Alberta,Buick Century Custom,2003
High Prairie,55.4325044,-116.4836198,Buick,332916,Buick LeSabre,900,Alberta,Buick LeSabre Limited,2004
Chilliwack,49.157677,-121.9514307,Buick,114346,Buick Allure,4888,British Columbia,Buick Allure CX Fixer-Upper,2005
Saskatoon,52.131802,-106.660767,Buick,219700,Buick Rainier,3888,Saskatchewan,Buick Rainier CXL,2006
Aurora,43.99973,-79.467545,Buick,195187,Buick Allure,2989,Ontario,Buick Allure CX,2006
Salaberry-De-Valleyfield,45.2555625,-74.1316153,Buick,60483,Buick Allure,4995,Québec,Buick Allure CX   DÉMARREUR   GROUPE ÉLECTRIQUE   CRUISE,2007
New Westminster,49.205728,-122.9108651,Buick,143316,Buick Lucerne,5998,British Columbia,Buick Lucerne 4dr Sdn V6 CXL,2007
Vaudreuil-Dorion,45.3971509,-74.0254577,Buick,175896,Buick Lucerne,2495,Québec,Buick Lucerne NORTH STAR V8 4.6L ,2007
London,42.9537654,-81.2291529,Buick,225085,Buick Lucerne,3295,Ontario,Buick Lucerne CXL V6 ,2007
Charlottetown,46.234953,-63.132935,Buick,178000,Buick Rendezvous,2770,Prince Edward Island,Buick Rendezvous THIS WHOLESALE WILL BE SOLD AS-TRADED! INQUIRE,2007
London,42.9537654,-81.2291529,Buick,177000,Buick Allure,4395,Ontario,Buick Allure Pwr Windows Locks Driver Seat-Cruise-A,2007
Edmonton,53.535411,-113.507996,Buick,188457,Buick Enclave,10777,Alberta,Buick Enclave CXL,2008
Calgary,51.02532675,-114.049868485806,Buick,150690,Buick Allure,8995,Alberta,Buick Allure Super,2008
Salaberry-De-Valleyfield,45.2555625,-74.1316153,Buick,153248,Buick Lucerne,5995,Québec,Buick Lucerne CXL CUIR SIÈGES ÉLECTRIQUE MAGS,2008
