city,lat,long,make,mileage,model,price,province,sepc,year
Toronto,43.653963,-79.387207,Cadillac,112764,Cadillac Coupe,32999,Ontario,Cadillac Coupe DeVille Rebuilt Engine & Transmission,1954
St-Esprit,45.898371,-73.666077,Cadillac,160400,Cadillac DeVille,2999,Québec,Cadillac DeVille,1990
Gananoque,44.3352722,-76.1646638,Cadillac,27387,Cadillac ALLANTE,18995,Ontario,Cadillac ALLANTE,1993
St-Esprit,45.898371,-73.666077,Cadillac,142000,Cadillac Seville,5499,Québec,Cadillac Seville Touring STS comme neuf,2001
New Glasgow,45.5869474,-62.6483547,Cadillac,133497,Cadillac XLR,26995,Nova Scotia,Cadillac XLR Florida Car,2004
Quebec,52.4760892,-71.8258668,Cadillac,161231,Cadillac CTS,3995,Québec,Cadillac CTS 3.6L ,2005
Mission,49.1589351,-122.2835833,Cadillac,172684,Cadillac CTS,7888,British Columbia,Cadillac CTS CTS -  - Sunroof - Power Windows,2005
Saskatoon,52.131802,-106.660767,Cadillac,115759,Cadillac STS-V,18758,Saskatchewan,Cadillac STS-V ,2006
Montréal,45.4972159,-73.6103642,Cadillac,112688,Cadillac CTS,4996,Québec,Cadillac CTS 2.8L,2006
Wetaskiwin,52.968492,-113.36792,Cadillac,208717,Cadillac Escalade,14995,Alberta,Cadillac Escalade Base,2007
St-Esprit,45.898371,-73.666077,Cadillac,206000,Cadillac Escalade,10999,Québec,Cadillac Escalade 7 places t tv_dvd,2007
North York,43.7708175,-79.4132998,Cadillac,277038,Cadillac Escalade,10800,Ontario,Cadillac Escalade 7 PASSENGER,2007
Saskatoon,52.131802,-106.660767,Cadillac,128820,Cadillac STS-V,17990,Saskatchewan,Cadillac STS-V Sedan,2007
Sherwood Park,53.5256963,-113.2966313,Cadillac,51088,Cadillac CTS-V,24980,Alberta,Cadillac CTS-V 6.0L 400HP,2007
Edmonton,53.535411,-113.507996,Cadillac,161252,Cadillac CTS,6950,Alberta,Cadillac CTS 2007 Cadillac CTS - 4dr Sdn,2007
Thornhill,43.8161477,-79.4245925,Cadillac,97123,Cadillac CTS,6588,Ontario,Cadillac CTS 2.8L Leather Heated Seats,2007
New Glasgow,45.5869474,-62.6483547,Cadillac,179420,Cadillac CTS,5499,Nova Scotia,Cadillac CTS 2.8L,2007
Vaughan,43.820904,-79.5084,Cadillac,160000,Cadillac DTS,4500,Ontario,Cadillac DTS Sunroof,2007
Stratford,46.2189935,-63.0876534061131,Cadillac,71632,Cadillac CTS,10000,Prince Edward Island,Cadillac CTS w,2008
