city,lat,long,make,mileage,model,price,province,sepc,year
Winnipeg,49.884017,-97.168579,Chevrolet,30571,Chevrolet Bel,32000,Manitoba,Chevrolet Bel Air Sedan  Fully Restored Show Room Condition,1956
Airdrie,51.28184845,-113.989991054108,Chevrolet,61603,Chevrolet Corvette,83888,Alberta,Chevrolet Corvette,1958
Grande Prairie,55.1709919,-118.7948882,Chevrolet,1197,Chevrolet Nova,73225,Alberta,Chevrolet Nova,1963
Kelowna,49.889326,-119.498291,Chevrolet,2000,Chevrolet Nova,64990,British Columbia,Chevrolet Nova Full Custom Build,1963
Sherwood Park,53.5256963,-113.2966313,Chevrolet,6668,Chevrolet Corvette,84990,Alberta,Chevrolet Corvette 327,1965
Kelowna,49.889326,-119.498291,Chevrolet,100,Chevrolet Custom,299990,British Columbia,Chevrolet Custom Incredible 1500 HP,1966
Kelowna,49.889326,-119.498291,Chevrolet,16806,Chevrolet Corvette,139990,British Columbia,Chevrolet Corvette Stingray,1967
Longueuil,45.5172382,-73.4467466,Chevrolet,9999,Chevrolet Camaro,89995,Québec,Chevrolet Camaro SS Convertible 502,1968
Vaughan,43.820904,-79.5084,Chevrolet,74818,Chevrolet Camaro,99888,Ontario,Chevrolet Camaro CONVERTIBLE,1969
Longueuil,45.5172382,-73.4467466,Chevrolet,93285,Chevrolet Camaro,39995,Québec,Chevrolet Camaro Coupe V8 350 360HP,1969
Longueuil,45.5172382,-73.4467466,Chevrolet,72061,Chevrolet Camaro,59995,Québec,Chevrolet Camaro SS 427 TRIBUTE,1969
Longueuil,45.5172382,-73.4467466,Chevrolet,5150,Chevrolet Chevelle,59995,Québec,Chevrolet Chevelle,1970
Vaudreuil-Dorion,45.3971509,-74.0254577,Chevrolet,500,Chevrolet Camaro,25995,Québec,Chevrolet Camaro TURN KEY ,1970
Grande Prairie,55.1709919,-118.7948882,Chevrolet,5000,Chevrolet Cheyenne,59988,Alberta,Chevrolet Cheyenne CK,1971
Camrose,53.013131,-112.840576,Chevrolet,70652,Chevrolet Corvette,69900,Alberta,Chevrolet Corvette Stingray Stingray TTop,1973
North Vancouver,49.3207133,-123.0737831,Chevrolet,107200,Chevrolet Corvette,24980,British Columbia,Chevrolet Corvette,1977
Victoriaville,46.0573705,-71.9536674,Chevrolet,74400,Chevrolet Corvette,12995,Québec,Chevrolet Corvette ORIGINAL,1981
Gatineau,45.457241,-75.723267,Chevrolet,53718,Chevrolet Corvette,20000,Québec,Chevrolet Corvette TARGA! Like New!!!!,1985
Toronto,43.653963,-79.387207,Chevrolet,197000,Chevrolet Corvette,6950,Ontario,Chevrolet Corvette GLASS ROOF,1986
Moncton,46.097995,-64.80011,Chevrolet,86050,Chevrolet Camaro,21900,New Brunswick,Chevrolet Camaro IROC-Z,1988
London,42.9537654,-81.2291529,Chevrolet,101487,Chevrolet Unlisted,8995,Ontario,Chevrolet Unlisted Item,1988
Montréal,45.4972159,-73.6103642,Chevrolet,82886,Chevrolet Corvette,3900,Québec,Chevrolet Corvette MILLAGE EN MILES PIECE OU EXPORT MOTEUR SAISI,1989
Victoria,48.4283182,-123.3649533,Chevrolet,106242,Chevrolet Corvette,16827,British Columbia,Chevrolet Corvette,1990
Edmonton,53.535411,-113.507996,Chevrolet,59888,Chevrolet Corvette,12888,Alberta,Chevrolet Corvette Base,1993
Verona,44.4784887,-76.6958284,Chevrolet,113517,Chevrolet Corvette,10900,Ontario,Chevrolet Corvette COUPE - AS TRADED,1993
Kelowna,49.889326,-119.498291,Chevrolet,129200,Chevrolet Corvette,13990,British Columbia,Chevrolet Corvette C4,1993
Edmonton,53.535411,-113.507996,Chevrolet,125083,Chevrolet Corvette,13995,Alberta,Chevrolet Corvette Custom Paint,1994
Red Deer,52.269838,-113.818359,Chevrolet,135456,Chevrolet Camaro,7525,Alberta,Chevrolet Camaro Z28,1994
Moncton,46.097995,-64.80011,Chevrolet,70037,Chevrolet Corvette,21900,New Brunswick,Chevrolet Corvette,1995
Concord,45.452798,-62.7905136,Chevrolet,3456,Chevrolet Corvette,99999,Nova Scotia,Chevrolet Corvette Grand Sport LT4,1996
Windsor,42.30423,-83.029861,Chevrolet,34751,Chevrolet Camaro,19795,Ontario,Chevrolet Camaro Z28,1996
Calgary,51.02532675,-114.049868485806,Chevrolet,209033,Chevrolet Blazer,2990,Alberta,Chevrolet Blazer 4X4,1998
