city,lat,long,make,mileage,model,price,province,sepc,year
Montréal,45.4972159,-73.6103642,Chrysler,82363,Chrysler Town,34997,Québec,Chrysler Town & Country 1950 Town & Country Woodies,1950
Victoria,48.4283182,-123.3649533,Chrysler,130790,Chrysler Sebring,5995,British Columbia,Chrysler Sebring JXI- AC Convertible Life Time ,2000
North Vancouver,49.3207133,-123.0737831,Chrysler,4700,Chrysler Prowler,54980,British Columbia,Chrysler Prowler Mulholland Edition,2001
Boisbriand,45.6130352,-73.8386827,Chrysler,187000,Chrysler PT,1504,Québec,Chrysler PT Cruiser Automatique full,2002
Windsor,42.30423,-83.029861,Chrysler,91254,Chrysler Sebring,4800,Ontario,Chrysler Sebring LX - CONVERTIBLE,2004
Regina,50.44876,-104.61731,Chrysler,151885,Chrysler Sebring,6990,Saskatchewan,Chrysler Sebring 2Dr Convertible LXi,2004
Stratford,46.2189935,-63.0876534061131,Chrysler,91254,Chrysler Sebring,4800,Prince Edward Island,Chrysler Sebring LX - CONVERTIBLE,2004
Brantford,43.1554354,-80.2665916,Chrysler,91254,Chrysler Sebring,4800,Ontario,Chrysler Sebring LX - CONVERTIBLE,2004
Guelph,43.533783,-80.2306337,Chrysler,156612,Chrysler Crossfire,8495,Ontario,Chrysler Crossfire Base,2004
Beauport,46.8594456,-71.1932496,Chrysler,112000,Chrysler PT,5295,Québec Québec,Chrysler PT Cruiser Touring,2005
Dieppe,46.0945258,-64.7354772,Chrysler,101328,Chrysler Sebring,4995,New Brunswick,Chrysler Sebring CONVERTIBLE,2005
Neepawa,50.2319353,-99.4637261,Chrysler,114646,Chrysler Sebring,7900,Manitoba,Chrysler Sebring ,2005
Airdrie,51.28184845,-113.989991054108,Chrysler,304213,Chrysler 300,5400,Alberta,Chrysler 300,2005
Leduc,53.2607636,-113.5501238,Chrysler,87519,Chrysler Crossfire,11988,Alberta,Chrysler Crossfire LIMITED Leather,2005
Victoria,48.4283182,-123.3649533,Chrysler,52784,Chrysler Crossfire,16860,British Columbia,Chrysler Crossfire Limited,2005
Burlington,43.3248924,-79.7966835,Chrysler,298775,Chrysler 300,2188,Ontario,Chrysler 300 ,2005
Kelowna,49.889326,-119.498291,Chrysler,41920,Chrysler Crossfire,17990,British Columbia,Chrysler Crossfire Limited,2005
Longueuil,45.5172382,-73.4467466,Chrysler,120200,Chrysler Crossfire,11495,Québec,Chrysler Crossfire Limited Convertible Triple Black ,2005
St-Esprit,45.898371,-73.666077,Chrysler,335000,Chrysler 300,1999,Québec,Chrysler 300,2006
Hamilton,43.2425289,-79.9470423,Chrysler,146393,Chrysler 300,5885,Ontario,Chrysler 300 Touring,2006
Coquitlam,49.2842958,-122.793281,Chrysler,78140,Chrysler Crossfire,13587,British Columbia,Chrysler Crossfire Limited,2006
Ottawa,45.421106,-75.690308,Chrysler,123176,Chrysler Sebring,6589,Ontario,Chrysler Sebring Base,2006
Brampton,43.6858146,-79.7599337,Chrysler,178288,Chrysler Sebring,1995,Ontario,Chrysler Sebring Touring,2006
Edmonton,53.535411,-113.507996,Chrysler,88100,Chrysler PT,6991,Alberta,Chrysler PT Cruiser GT,2006
St-Raymond,46.889058,-71.835136,Chrysler,133983,Chrysler Sebring,3950,Québec,Chrysler Sebring Touring DÉCAPOTABLE,2006
Nobleton (vaughan),43.9244361,-79.5672218,Chrysler,143577,Chrysler PT,2888,Ontario,Chrysler PT Cruiser Base,2006
Laurier-Station,46.540207,-71.632919,Chrysler,218526,Chrysler 300,2948,Québec,Chrysler 300 DÉMARREUR,2006
Vernon,50.268277,-119.267578,Chrysler,126130,Chrysler 300,8800,British Columbia,Chrysler 300 Base,2006
London,42.9537654,-81.2291529,Chrysler,202542,Chrysler 300,3000,Ontario,Chrysler 300 Touring 2006 Chrysler 300 Touring,2006
Chatham-Kent,42.41833,-82.0898417,Chrysler,124129,Chrysler PT,1300,Ontario,Chrysler PT Cruiser AS IS ,2007
Ottawa,45.421106,-75.690308,Chrysler,180172,Chrysler PT,1346,Ontario,Chrysler PT Cruiser A,2007
Gatineau,45.457241,-75.723267,Chrysler,115135,Chrysler 300C,16992,Québec,Chrysler 300C SRT8,2007
Regina,50.44876,-104.61731,Chrysler,270076,Chrysler Pacifica,4999,Saskatchewan,Chrysler Pacifica Touring ,2007
London,42.9537654,-81.2291529,Chrysler,132945,Chrysler Crossfire,8783,Ontario,Chrysler Crossfire Limited -Htd Lthr Seats-Mercedes Powertrain-Pwr Wi,2007
Toronto,43.653963,-79.387207,Chrysler,144580,Chrysler PT,2380,Ontario,Chrysler PT Cruiser  AS TRADED  ,2007
London,42.9537654,-81.2291529,Chrysler,145500,Chrysler PT,4995,Ontario,Chrysler PT Cruiser CONVERTIBLE,2007
Clarington,43.96868585,-78.6513573827391,Chrysler,157149,Chrysler 300,4994,Ontario,Chrysler 300 ,2007
Windsor,42.30423,-83.029861,Chrysler,192185,Chrysler 300,5999,Ontario,Chrysler 300 Touring Annual Clearance Sale!,2008
Beauport,46.8594456,-71.1932496,Chrysler,176385,Chrysler Sebring,6695,Québec Québec,Chrysler Sebring Touring,2008
Charlemagne,45.72551965,-73.4896922220162,Chrysler,105874,Chrysler Sebring,6895,Québec,Chrysler Sebring Limited Convertible Tres Bonne Condition !!!,2008
Calgary,51.02532675,-114.049868485806,Chrysler,115485,Chrysler Town,7995,Alberta,Chrysler Town & Country Touring,2008
Chatham-Kent,42.41833,-82.0898417,Chrysler,119402,Chrysler Aspen,12988,Ontario,Chrysler Aspen Limited 4X4 -8 PASS - NAVI - DVD - LEATHER - BLUET,2008
Quebec,52.4760892,-71.8258668,Chrysler,94733,Chrysler 300,7995,Québec,Chrysler 300 Touring ,2008
Aylmer,42.773227,-80.983658,Chrysler,162000,Chrysler Sebring,6995,Ontario,Chrysler Sebring CONVERTIBLE! POWER SEATS! POWER WINDOWS!,2008
Niagara Falls,43.100983,-79.115295,Chrysler,204755,Chrysler Sebring,4800,Ontario,Chrysler Sebring CONVERTIBLE,2008
Brantford,43.1554354,-80.2665916,Chrysler,190976,Chrysler 300,5282,Ontario,Chrysler 300 Touring,2008
Boisbriand,45.6130352,-73.8386827,Chrysler,148654,Chrysler Sebring,1903,Québec,Chrysler Sebring V6 Touring-CUIR-TOIT,2008
Dollard-Des Ormeaux,45.48423,-73.8064547,Chrysler,118250,Chrysler 300,4995,Québec,Chrysler 300 Limited,2008
London,42.9537654,-81.2291529,Chrysler,154385,Chrysler Sebring,4990,Ontario,Chrysler Sebring Touring,2008
Toronto,43.653963,-79.387207,Chrysler,208517,Chrysler Town,1995,Ontario,Chrysler Town & Country 4dr Wgn Touring,2008
Saint-Hyacinthe,45.627484,-72.940636,Chrysler,199986,Chrysler Sebring,4885,Québec,Chrysler Sebring Limited ,2008
Mississauga,43.590338,-79.645729,Chrysler,208974,Chrysler Sebring,2745,Ontario,Chrysler Sebring LX - PWR GRP ,2008
Scarborough,43.773077,-79.257774,Chrysler,178736,Chrysler Town,5995,Ontario,Chrysler Town & Country Limited,2008
Charlemagne,45.72551965,-73.4896922220162,Chrysler,144469,Chrysler Sebring,5995,Québec,Chrysler Sebring Touring Convertible Tres bonne condition !!!,2008
Blainville,45.67932,-73.87619,Chrysler,91000,Chrysler Sebring,7795,Québec,Chrysler Sebring SEBRING DECAPOTABLE ,2009
