city,lat,long,make,mileage,model,price,province,sepc,year
Sherwood Park,53.5256963,-113.2966313,Dodge,28297,Dodge 5-Window,49999.0,Alberta,Dodge 5-Window Businessman Coupe,1936
Sherwood Park,53.5256963,-113.2966313,Dodge,48988,Dodge Charger,69990.0,Alberta,Dodge Charger,1968
Kelowna,49.889326,-119.498291,Dodge,11992,Dodge Charger,99990.0,British Columbia,Dodge Charger R,1969
Sherwood Park,53.5256963,-113.2966313,Dodge,91410,Dodge Challenger,54990.0,Alberta,Dodge Challenger RT,1970
Kelowna,49.889326,-119.498291,Dodge,6200,Dodge Challenger,129990.0,British Columbia,Dodge Challenger Custom RestoMod,1973
Edmonton,53.535411,-113.507996,Dodge,197818,Dodge Stealth,9500.0,Alberta,Dodge Stealth R,1993
Duncan,48.7786872,-123.7080446,Dodge,121158,Dodge Ram,8888.0,British Columbia,Dodge Ram 2500 LARAMIE SLT - EXT CAB MAGNUM V8 REGULAR BOX,1998
Saint-Georges,46.122987,-70.671959,Dodge,172000,Dodge Dakota,4995.0,Québec,Dodge Dakota,2000
North York,43.7708175,-79.4132998,Dodge,35615,Dodge Viper,48800.0,Ontario,Dodge Viper RT,2000
North York,43.7708175,-79.4132998,Dodge,31461,Dodge Viper,66800.0,Ontario,Dodge Viper GTS. 6 SPEED,2000
Surrey,49.1913033,-122.8491439,Dodge,163125,Dodge Ram,6541.0,British Columbia,Dodge Ram Van,2000
Mission,49.1589351,-122.2835833,Dodge,40132,Dodge Viper,74888.0,British Columbia,Dodge Viper GTS Rare GTS ACR,2001
London,42.9537654,-81.2291529,Dodge,340557,Dodge Durango,1400.0,Ontario,Dodge Durango 4WD ,2001
Campbell River,50.023071,-125.2441538,Dodge,380606,Dodge Ram,13995.0,British Columbia,Dodge Ram 2500,2002
Clarington,43.96868585,-78.6513573827391,Dodge,181625,Dodge Ram,6999.0,Ontario,Dodge Ram 1500 ST ,2002
Saskatoon,52.131802,-106.660767,Dodge,273128,Dodge Caravan,2288.0,Saskatchewan,Dodge Caravan SE,2002
North York,43.7708175,-79.4132998,Dodge,77137,Dodge Viper,64800.0,Ontario,Dodge Viper GTS ACR,2002
Middleton,44.942431,-65.0680746,Dodge,113455,Dodge Ram,8996.0,Nova Scotia,Dodge Ram 1500 RAM 1500 Fresh 2 Year MVI! 4X4!,2002
Mission,49.1589351,-122.2835833,Dodge,237674,Dodge Ram,29998.0,British Columbia,Dodge Ram 3500 SLT,2003
Estevan,49.1428076,-102.9910752,Dodge,311601,Dodge Ram,16995.0,Saskatchewan,Dodge Ram 3500 DUALLY ,2003
Aylmer,42.773227,-80.983658,Dodge,240000,Dodge Ram,2995.0,Ontario,Dodge Ram 1500 AS IS!,2003
Welland,42.993097,-79.250565,Dodge,264778,Dodge Dakota,2487.0,Ontario,Dodge Dakota Sport QUAD 4WD,2003
Calgary,51.02532675,-114.049868485806,Dodge,320953,Dodge Dakota,2888.0,Alberta,Dodge Dakota Sport,2003
Norwood,44.06098575,-66.0306609614125,Dodge,360956,Dodge Ram,7595.0,Nova Scotia,Dodge Ram 2500 SLT - Tow Package - Infinity Surround Sound,2003
Toronto,43.653963,-79.387207,Dodge,252085,Dodge Caravan,795.0,Ontario,Dodge Caravan GRAND,2004
Vernon,50.268277,-119.267578,Dodge,206592,Dodge Ram,16995.0,British Columbia,Dodge Ram 1500 SLT 4X4,2004
Fort Macleod,49.7257568,-113.4053475,Dodge,164445,Dodge Dakota,7778.0,Alberta,Dodge Dakota Sport crew 4x4 1-owner,2004
Quebec,52.4760892,-71.8258668,Dodge,136293,Dodge Ram,8995.0,Québec,Dodge Ram 2500 SLT ,2004
Drummondville,45.8864303,-72.5018764,Dodge,198130,Dodge Dakota,3988.0,Québec,Dodge Dakota SLT ,2004
Norwood,44.06098575,-66.0306609614125,Dodge,311386,Dodge Ram,9995.0,Nova Scotia,Dodge Ram 1500 Laramie - Heated Leather - Remote Start,2004
North York,43.7708175,-79.4132998,Dodge,56000,Dodge Viper,45800.0,Ontario,Dodge Viper SRT-10 CONVERTIBLE,2005
Mission,49.1589351,-122.2835833,Dodge,196233,Dodge Magnum,5888.0,British Columbia,Dodge Magnum SE,2005
Brampton,43.6858146,-79.7599337,Dodge,215211,Dodge Caravan,2495.0,Ontario,Dodge Caravan SE,2005
Calgary,51.02532675,-114.049868485806,Dodge,265869,Dodge Ram,7995.0,Alberta,Dodge Ram 1500 SLT,2005
Fort Macleod,49.7257568,-113.4053475,Dodge,227000,Dodge Ram,9998.0,Alberta,Dodge Ram 1500 SLT Sport Daytona Limted Edition,2005
Vernon,50.268277,-119.267578,Dodge,154828,Dodge Dakota,13995.0,British Columbia,Dodge Dakota SXT 4X4,2005
Nanaimo,49.1637594,-123.9379719,Dodge,160206,Dodge Dakota,9995.0,British Columbia,Dodge Dakota SLT Quad Cab,2005
Vancouver,49.2608724,-123.1139529,Dodge,53800,Dodge Viper,99980.0,British Columbia,Dodge Viper SRT10 - Fully Built,2005
High Prairie,55.4325044,-116.4836198,Dodge,401894,Dodge Ram,10848.0,Alberta,Dodge Ram 3500 RAM 3500 Quad SLT Sport Diesel 4X4 ,2005
Thornhill,43.8161477,-79.4245925,Dodge,29195,Dodge Viper,51088.0,Ontario,Dodge Viper SRT10 #20 of 50 Convertible 8.3 LV10,2005
New Westminster,49.205728,-122.9108651,Dodge,130036,Dodge Caravan,5995.0,British Columbia,Dodge Caravan SE,2006
Guelph,43.533783,-80.2306337,Dodge,177088,Dodge Charger,9490.0,Ontario,Dodge Charger SRT8,2006
St-Jérôme,45.775426,-74.013176,Dodge,144859,Dodge Ram,8995.0,Québec,Dodge Ram 1500 SLT,2006
Mississauga,43.590338,-79.645729,Dodge,361251,Dodge Charger,2745.0,Ontario,Dodge Charger PWR GRP ,2006
North York,43.7708175,-79.4132998,Dodge,280965,Dodge Ram,7980.0,Ontario,Dodge Ram 1500 4WD 4dr Quad Cab,2006
Norwood,44.06098575,-66.0306609614125,Dodge,278765,Dodge Durango,8495.0,Nova Scotia,Dodge Durango SLT - Sunroof - DVD - Leather,2006
St-Jérôme,45.775426,-74.013176,Dodge,179107,Dodge Charger,7995.0,Québec,Dodge Charger SRT8 CUIR TOIT MAGS BCP DE PIECES NEUVE,2006
St-Raymond,46.889058,-71.835136,Dodge,210457,Dodge Ram,20950.0,Québec,Dodge Ram 2500 V8 -MOTEUR CUMMINS -LARAMIE,2006
Red Deer County,52.1040224,-113.7674734,Dodge,108520,Dodge Charger,9967.0,Alberta,Dodge Charger R,2006
Charlesbourg,46.8958611,-71.2910300583245,Dodge,154113,Dodge Charger,4450.0,Québec,Dodge Charger SXT,2006
Campbell River,50.023071,-125.2441538,Dodge,199492,Dodge Caravan,5995.0,British Columbia,Dodge Caravan Base,2006
Fort Macleod,49.7257568,-113.4053475,Dodge,178225,Dodge Ram,21889.0,Alberta,"Dodge Ram 3500 SLT Crew LWB 5.9L Cummins Diesel 4x4""",2006
Medicine Hat,50.04303,-110.679016,Dodge,136660,Dodge Magnum,6888.0,Alberta,Dodge Magnum Base,2006
Edmonton,53.535411,-113.507996,Dodge,155700,Dodge Ram,26999.0,Alberta,Dodge Ram 2500 4WD MEGACAB SLT Diesel,2006
Ottawa,45.421106,-75.690308,Dodge,261900,Dodge Dakota,2463.0,Ontario,Dodge Dakota SLT V6 4X4 A,2006
Toronto,43.653963,-79.387207,Dodge,9236,Dodge Viper,65994.0,Ontario,Dodge Viper IN STOCK ,2006
Richmond Hill,43.880078,-79.439392,Dodge,149307,Dodge Charger,14950.0,Ontario,Dodge Charger RT Daytona #88 Of 250,2006
High River,50.5797079,-113.8569213,Dodge,5606,Dodge Viper,70000.0,Alberta,Dodge Viper SRT10--ONLY 5606 MILES,2006
Regina,50.44876,-104.61731,Dodge,99005,Dodge Ram,12999.0,Saskatchewan,Dodge Ram 1500 Low Kms,2006
St-Esprit,45.898371,-73.666077,Dodge,225040,Dodge Ram,6999.0,Québec,Dodge Ram 1500 SLT quad 4x4 8 pieds boite,2006
North York,43.7708175,-79.4132998,Dodge,71268,Dodge Viper,59799.0,Ontario,Dodge Viper V10,2006
Windsor,42.30423,-83.029861,Dodge,274501,Dodge Dakota,6999.0,Ontario,Dodge Dakota ST Annual Clearance Sale!,2007
Campbell River,50.023071,-125.2441538,Dodge,324304,Dodge Ram,24777.0,British Columbia,Dodge Ram 3500 Laramie,2007
Calgary,51.02532675,-114.049868485806,Dodge,150003,Dodge Caliber,5888.0,Alberta,Dodge Caliber SXT,2007
Edmonton,53.535411,-113.507996,Dodge,243120,Dodge Ram,7500.0,Alberta,Dodge Ram 1500 ST Quad Cab 4WD,2007
Ingersoll,43.037725,-80.88211,Dodge,226473,Dodge Nitro,949.0,Ontario,Dodge Nitro SE,2007
Surrey,49.1913033,-122.8491439,Dodge,112500,Dodge Ram,19995.0,British Columbia,Dodge Ram 1500 SLT,2007
Mirabel,45.623402,-74.012489,Dodge,112076,Dodge Dakota,7477.0,Québec,Dodge Dakota ST 4X4 ,2007
London,42.9537654,-81.2291529,Dodge,199000,Dodge Caliber,3982.0,Ontario,Dodge Caliber AUX-PowerWindows-PowerLocks,2007
Winnipeg,49.884017,-97.168579,Dodge,210000,Dodge Ram,28600.0,Manitoba,Dodge Ram 2500 5.9L Diesel - LIFTED ,2007
London,42.9537654,-81.2291529,Dodge,189127,Dodge Caliber,1282.0,Ontario,Dodge Caliber 4Dr Hatchback,2007
St-Esprit,45.898371,-73.666077,Dodge,228200,Dodge Ram,18999.0,Québec,Dodge Ram 2500 SLT diesel,2007
Calgary,51.02532675,-114.049868485806,Dodge,198746,Dodge Caravan,3888.0,Alberta,Dodge Caravan Base,2007
Duncan,48.7786872,-123.7080446,Dodge,172575,Dodge Ram,12888.0,British Columbia,Dodge Ram 1500 LARAMIE- QUAD Cab 5.7L V8 HEMI REG BOX -4WD,2007
Calgary,51.02532675,-114.049868485806,Dodge,113298,Dodge Charger,16888.0,Alberta,Dodge Charger R,2007
Stratford,46.2189935,-63.0876534061131,Dodge,243199,Dodge Dakota,2500.0,Prince Edward Island,Dodge Dakota SLT QUAD CAB,2007
