city,lat,long,make,mileage,model,price,province,sepc,year
Kelowna,49.889326,-119.498291,Ford,75,Ford CUSTOM,149990,British Columbia,Ford CUSTOM STREET ROD,1940
New Glasgow,45.5869474,-62.6483547,Ford,87542,Ford Crown,48000,Nova Scotia,Ford Crown Victoria,1956
Essex,42.2354142,-82.7120106,Ford,67667,Ford Thunderbird,33998,Ontario,Ford Thunderbird HARDTOP- CHERRY RED- BEAUTIFUL CLASSIC CAR,1956
Montréal,45.4972159,-73.6103642,Ford,181261,Ford Galaxie,21987,Québec,Ford Galaxie 500 ford galaxie starliner convertible 500 x,1962
Mercier,45.310444,-73.746051,Ford,3947,Ford Galaxie,99995,Québec,Ford Galaxie,1963
Vaudreuil-Dorion,45.3971509,-74.0254577,Ford,500,Ford Mustang,25995,Québec,Ford Mustang Very well done restoration,1967
Kelowna,49.889326,-119.498291,Ford,45950,Ford Mustang,169990,British Columbia,Ford Mustang Shelby GT500 Eleanor,1968
Fort Macleod,49.7257568,-113.4053475,Ford,97540,Ford F-150,6998,Alberta,Ford F-150 F-150 Reg Cab,1986
Hamilton,43.2425289,-79.9470423,Ford,97992,Ford Mustang,19992,Ontario,Ford Mustang LX - 5.0L,1991
Kitchener,43.453168,-80.494423,Ford,141360,Ford Mustang,14498,Ontario,Ford Mustang MANUAL,1991
Campbell River,50.023071,-125.2441538,Ford,193705,Ford F-250,9995,British Columbia,Ford F-250 XLT Lariat,1991
Charlemagne,45.72551965,-73.4896922220162,Ford,135270,Ford Mustang,6995,Québec,Ford Mustang GT 5.0L Tout a Fait Impeccable !!!,1995
Kitchener,43.453168,-80.494423,Ford,49798,Ford Mustang,23998,Ontario,Ford Mustang COBRA CONVERIBLE! 300,1998
Saskatoon,52.131802,-106.660767,Ford,108434,Ford LGT,15900,Saskatchewan,Ford LGT,1998
Windsor,42.30423,-83.029861,Ford,273117,Ford Ranger,3999,Ontario,Ford Ranger XLT Annual Clearance Sale!,1999
Headingley,49.868087,-97.391052,Ford,207000,Ford F-350,32000,Manitoba,Ford F-350 COMBINATION 7.3L TURBO DIESEL AND IMMAC 5TH WHEEL,1999
Aylmer,42.773227,-80.983658,Ford,185000,Ford Mustang,4995,Ontario,Ford Mustang AS IS! CONVERTIBLE! BASE! LEATHER SEATS!,2000
Toronto,43.653963,-79.387207,Ford,23020,Ford Mustang,16888,Ontario,Ford Mustang GT,2000
North York,43.7708175,-79.4132998,Ford,305693,Ford F-150,5580,Ontario,Ford F-150 Supercab Flareside 139 4WD,2000
Mercier,45.310444,-73.746051,Ford,82758,Ford Mustang,2999,Québec,Ford Mustang Base CABRIOLET TISSUS MAGS V6,2001
Edmonton,53.535411,-113.507996,Ford,288563,Ford Escape,3000,Alberta,Ford Escape XLT,2001
Saskatoon,52.131802,-106.660767,Ford,124000,Ford Taurus,2982,Saskatchewan,Ford Taurus SE,2001
Belleville,44.2436328,-77.3607597,Ford,271198,Ford Excursion,33900,Ontario,Ford Excursion LIMITED 7.3L POWERSTROKE DIESEL!!,2001
Clarington,43.96868585,-78.6513573827391,Ford,148914,Ford Mustang,8244,Ontario,Ford Mustang GT ,2002
Belleville,44.2436328,-77.3607597,Ford,267555,Ford F-350,22900,Ontario,Ford F-350 LARIAT 7.3L POWER STROKE 4x4,2002
Guelph,43.533783,-80.2306337,Ford,95066,Ford Thunderbird,19999,Ontario,Ford Thunderbird,2002
Scarborough,43.773077,-79.257774,Ford,165412,Ford Mustang,5995,Ontario,Ford Mustang convertible,2002
