city,lat,long,make,mileage,model,price,province,sepc,year
Whitby,43.899871,-78.940201,Honda,692202,Honda Accord,900.0,Ontario,Honda Accord EX,1992
Windsor,42.30423,-83.029861,Honda,330888,Honda Accord,1650.0,Ontario,Honda Accord SEDAN LX,1996
Brantford,43.1554354,-80.2665916,Honda,330888,Honda Accord,1650.0,Ontario,Honda Accord SEDAN LX,1996
Stratford,46.2189935,-63.0876534061131,Honda,330888,Honda Accord,1650.0,Prince Edward Island,Honda Accord SEDAN LX,1996
Airdrie,51.28184845,-113.989991054108,Honda,253376,Honda Civic,4888.0,Alberta,Honda Civic EX,1997
Calgary,51.02532675,-114.049868485806,Honda,92874,Honda S2000,25999.0,Alberta,Honda S2000 LOCAL WITH NO ACCIDENTS! ,2000
Saint-Hyacinthe,45.627484,-72.940636,Honda,225773,Honda Civic,1995.0,Québec,Honda Civic SE ,2000
Saint-Jean-Sur-Richelieu,45.3056879,-73.2533401,Honda,235187,Honda Civic,1283.0,Québec,Honda Civic DX-G ,2001
Blainville,45.67932,-73.87619,Honda,187000,Honda CR-V,2491.0,Québec,Honda CR-V EX,2001
Milton,43.513671,-79.882817,Honda,331666,Honda Accord,1850.0,Ontario,Honda Accord 4dr Sdn EX Auto V6,2001
Richmond Hill,43.880078,-79.439392,Honda,205785,Honda Accord,2000.0,Ontario,Honda Accord EX V6,2001
North Bay,46.3092115,-79.4607617,Honda,215072,Honda Odyssey,1799.0,Ontario,Honda Odyssey As Is Where Is Special!!,2001
Winnipeg,49.884017,-97.168579,Honda,99760,Honda Prelude,12500.0,Manitoba,Honda Prelude SE  2001 HONDA PRELUDE,2001
Burnaby,49.2433804,-122.9725459,Honda,73115,Honda CR-V,8990.0,British Columbia,Honda CR-V 4WD Full Mark iL AT 73K,2002
Charlottetown,46.234953,-63.132935,Honda,400933,Honda Accord,1570.0,Prince Edward Island,Honda Accord EX V6 THIS WHOLESALE CAR WILL BE SOLD AS-TRADED! I,2002
Brampton,43.6858146,-79.7599337,Honda,301441,Honda Accord,995.0,Ontario,Honda Accord SE,2002
Burnaby,49.2433804,-122.9725459,Honda,129900,Honda Integra,13990.0,British Columbia,Honda Integra Integra Type R DC5 K20A 6MT 220PS 129K,2002
