city,lat,long,make,mileage,model,price,province,sepc,year
Brossard,45.4554829,-73.4678904,Hyundai,22028,Hyundai Pony,19950,Québec,Hyundai Pony MAGNIFIQUE HYUNDAI PONY,1986
Calgary,51.02532675,-114.049868485806,Hyundai,220156,Hyundai Santa,4450,Alberta,Hyundai Santa Fe,2004
Calgary,51.02532675,-114.049868485806,Hyundai,251957,Hyundai Santa,4888,Alberta,Hyundai Santa Fe GLS 3.5L ,2004
Montréal,45.4972159,-73.6103642,Hyundai,138600,Hyundai Santa,2122,Québec,Hyundai Santa Fe GLS 3.5L 4WD SEULEMENT 138 600KM,2004
Salaberry-De-Valleyfield,45.2555625,-74.1316153,Hyundai,146379,Hyundai Tucson,6995,Québec,Hyundai Tucson  GLS   AWD   TOIT OUVRANT   SIÈGES CHAUFFANTS,2005
London,42.9537654,-81.2291529,Hyundai,119667,Hyundai Tucson,5988,Ontario,Hyundai Tucson GL - Great Value,2005
Charlottetown,46.234953,-63.132935,Hyundai,275717,Hyundai Santa,1790,Prince Edward Island,Hyundai Santa Fe GL V6 THIS WHOLESALE WILL BE SOLD AS-TRADED! I,2006
London,42.9537654,-81.2291529,Hyundai,172800,Hyundai Tucson,5988,Ontario,Hyundai Tucson GLS - Low KM,2006
Toronto,43.653963,-79.387207,Hyundai,299000,Hyundai Tucson,1995,Ontario,Hyundai Tucson 4dr 4WD 2.7L Auto,2006
Quebec,52.4760892,-71.8258668,Hyundai,152473,Hyundai Accent,1995,Québec,Hyundai Accent GL ,2006
Airdrie,51.28184845,-113.989991054108,Hyundai,175888,Hyundai Santa,4888,Alberta,Hyundai Santa Fe GLS 3.5L,2006
Mission,49.1589351,-122.2835833,Hyundai,210154,Hyundai Tucson,6888,British Columbia,Hyundai Tucson GL,2006
Victoria,48.4283182,-123.3649533,Hyundai,167043,Hyundai Santa,6995,British Columbia,Hyundai Santa Fe GL- AC Life Time ,2006
Blainville,45.67932,-73.87619,Hyundai,93784,Hyundai Accent,2991,Québec,Hyundai Accent 3-dr AIR,2007
Blainville,45.67932,-73.87619,Hyundai,206000,Hyundai Elantra,2995,Québec,Hyundai Elantra ELANTRA AUTOMATIQUE A,2007
Mississauga,43.590338,-79.645729,Hyundai,221489,Hyundai Elantra,2745,Ontario,Hyundai Elantra GL - PWR GRP ,2007
Scarborough,43.773077,-79.257774,Hyundai,131456,Hyundai Santa,4807,Ontario,Hyundai Santa Fe Premier Pre-Owned Sale: October 21-26 only!,2007
Scarborough,43.773077,-79.257774,Hyundai,219882,Hyundai Santa,4995,Ontario,Hyundai Santa Fe GL Premium 7Pass,2007
Port Coquitlam,49.2621643,-122.7805425,Hyundai,116212,Hyundai Accent,4995,British Columbia,Hyundai Accent GS,2007
Dorval,45.4453082,-73.7510888,Hyundai,86247,Hyundai Sonata,4990,Québec,Hyundai Sonata GL AUTO TRACTION AVANT A,2007
London,42.9537654,-81.2291529,Hyundai,110539,Hyundai Tucson,5988,Ontario,Hyundai Tucson GL - Low Kms,2007
Saskatoon,52.131802,-106.660767,Hyundai,342000,Hyundai Sonata,1750,Saskatchewan,Hyundai Sonata GLS V6,2007
Sorel-Tracy,46.0435235,-73.1165159,Hyundai,152500,Hyundai Entourage,6995,Québec,Hyundai Entourage GL,2007
Calgary,51.02532675,-114.049868485806,Hyundai,217353,Hyundai Santa,6900,Alberta,Hyundai Santa Fe GL 5Pass SUV,2007
Kitchener,43.453168,-80.494423,Hyundai,222235,Hyundai Santa,3500,Ontario,Hyundai Santa Fe AS TRADED ,2007
Blainville,45.67932,-73.87619,Hyundai,245000,Hyundai Elantra,2195,Québec,Hyundai Elantra 2007 Hyundai Elantra NOUVELLE ARRIVAGE VENTE VIP !,2007
Saint John,45.278752,-66.058044,Hyundai,95970,Hyundai Sonata,2300,New Brunswick,Hyundai Sonata SONATA GL - LOW KMS!!!  As Traded!,2007
Orangeville,43.9194098,-80.0988238,Hyundai,96403,Hyundai Accent,2300,Ontario,Hyundai Accent,2007
