city,lat,long,make,mileage,model,price,province,sepc,year
Coquitlam,49.2842958,-122.793281,Infiniti,180205,Infiniti G35,4887,British Columbia,Infiniti G35,2003
Airdrie,51.28184845,-113.989991054108,Infiniti,220857,Infiniti G35,4888,Alberta,Infiniti G35 Luxury,2003
Toronto,43.653963,-79.387207,Infiniti,205000,Infiniti QX56,8888,Ontario,Infiniti QX56 PREMIUM NAVIGATION,2004
North York,43.7708175,-79.4132998,Infiniti,221431,Infiniti FX45,5980,Ontario,Infiniti FX45 Navi Camera DVD AWD Leather Sunroof,2005
Edmonton,53.535411,-113.507996,Infiniti,238707,Infiniti G35,5470,Alberta,Infiniti G35 AWD...AUTO....GREAT CONDITION - Local,2005
Toronto,43.653963,-79.387207,Infiniti,165000,Infiniti G35,5488,Ontario,Infiniti G35 Luxury,2005
Burlington,43.3248924,-79.7966835,Infiniti,246951,Infiniti G35X,1388,Ontario,Infiniti G35X ,2005
Oakville,43.447436,-79.666672,Infiniti,155478,Infiniti G35,7950,Ontario,Infiniti G35 ,2006
Kingston,44.3054151,-76.4283781,Infiniti,223241,Infiniti M35X,5990,Ontario,Infiniti M35X Luxury,2006
Brossard,45.4554829,-73.4678904,Infiniti,120661,Infiniti G35,6666,Québec,Infiniti G35 Coupe G35 CUIR - TOIT OUVRANT,2006
North York,43.7708175,-79.4132998,Infiniti,207183,Infiniti QX56,7800,Ontario,Infiniti QX56 AWD,2006
Vancouver,49.2608724,-123.1139529,Infiniti,33330,Infiniti G35,15980,British Columbia,Infiniti G35 Coupe Touring - 33,2006
Scarborough,43.773077,-79.257774,Infiniti,161509,Infiniti G35,6993,Ontario,Infiniti G35 Premier Pre-Owned Sale: October 21-26 only!,2007
London,42.9537654,-81.2291529,Infiniti,175416,Infiniti FX35,8995,Ontario,Infiniti FX35 BACK UP CAM,2007
Mississauga,43.590338,-79.645729,Infiniti,230364,Infiniti G35X,5488,Ontario,Infiniti G35X Awd,2007
Waterloo,43.466874,-80.524635,Infiniti,113500,Infiniti EX35,12997,Ontario,Infiniti EX35 de luxe LOW KMs ,2008
Coquitlam,49.2842958,-122.793281,Infiniti,126551,Infiniti FX35,9987,British Columbia,Infiniti FX35,2008
Longueuil,45.5172382,-73.4467466,Infiniti,168103,Infiniti G37,11995,Québec,Infiniti G37 G37S 2dr Sport ,2008
Toronto,43.653963,-79.387207,Infiniti,150382,Infiniti EX35,8995,Ontario,Infiniti EX35 AUTO,2008
London,42.9537654,-81.2291529,Infiniti,348141,Infiniti QX56,8995,Ontario,Infiniti QX56 7-PASS,2008
Georgetown,43.6502652,-79.9036058,Infiniti,129735,Infiniti G37,12950,Ontario,Infiniti G37 Sport ,2008
Calgary,51.02532675,-114.049868485806,Infiniti,174842,Infiniti FX35,8995,Alberta,Infiniti FX35,2008
Whitby,43.899871,-78.940201,Infiniti,182378,Infiniti G35X,4900,Ontario,Infiniti G35X Base,2008
Vancouver,49.2608724,-123.1139529,Infiniti,120079,Infiniti G37,14995,British Columbia,Infiniti G37 Sport,2008
Sainte-Julie,45.5930624,-73.3395943,Infiniti,155188,Infiniti EX35,7995,Québec,Infiniti EX35,2008
Calgary,51.02532675,-114.049868485806,Infiniti,95513,Infiniti G37,15888,Alberta,Infiniti G37 Luxury ,2009
Lethbridge,49.694285,-112.851562,Infiniti,233203,Infiniti G37X,9900,Alberta,Infiniti G37X,2009
Charlemagne,45.72551965,-73.4896922220162,Infiniti,160618,Infiniti G37,14895,Québec,Infiniti G37 S Convertible V6 3.7L Automatique,2009
Ottawa,45.421106,-75.690308,Infiniti,146189,Infiniti G37,10788,Ontario,Infiniti G37 AWD SPORT,2009
Mississauga,43.590338,-79.645729,Infiniti,158616,Infiniti G37X,10488,Ontario,Infiniti G37X Awd,2009
Toronto,43.653963,-79.387207,Infiniti,194984,Infiniti G37X,6000,Ontario,Infiniti G37X Sedan Luxury AWD,2009
Longueuil,45.5172382,-73.4467466,Infiniti,142003,Infiniti FX35,13995,Québec,Infiniti FX35 AWD 4dr 3.5L V6,2009
Milton,43.513671,-79.882817,Infiniti,191652,Infiniti G,8795,Ontario,Infiniti G G37Sx AWD AUTO NAVIGATION CAMERA CERTIFIED 2YR WAR,2009
Longueuil,45.5172382,-73.4467466,Infiniti,139076,Infiniti G37,16995,Québec,Infiniti G37 2009 Infiniti G37 - 2dr Premium  Convertible,2009
Saint-Constant,45.3724897,-73.5704589,Infiniti,145000,Infiniti G37X,10999,Québec,Infiniti G37X AWD CUIR,2010
New Glasgow,45.5869474,-62.6483547,Infiniti,112039,Infiniti G37X,13899,Nova Scotia,Infiniti G37X Premium ,2010
