city,lat,long,make,mileage,model,price,province,sepc,year
St. Albert,53.633239,-113.628845,Jeep,51345,Jeep Wrangler,12990,Alberta,Jeep Wrangler Classic,1951
Middleton,44.942431,-65.0680746,Jeep,262362,Jeep TJ,8996,Nova Scotia,Jeep TJ Wrangler SE,1998
Sherwood Park,53.5256963,-113.2966313,Jeep,194374,Jeep Wrangler,8980,Alberta,Jeep Wrangler SE Manual 4WD,1999
Richmond,49.163168,-123.137414,Jeep,200501,Jeep Grand,4999,British Columbia,Jeep Grand Cherokee leather Limited 4wd-1 year warranty!,2001
North Bay,46.3092115,-79.4607617,Jeep,205302,Jeep TJ,11750,Ontario,Jeep TJ Sahara,2001
Mississauga,43.590338,-79.645729,Jeep,218364,Jeep Grand,1988,Ontario,Jeep Grand Cherokee Overland,2002
Saint-Constant,45.3724897,-73.5704589,Jeep,214186,Jeep TJ,9999,Québec,Jeep TJ 2 TOITS SUSPENSION MODIFIÉE PNEUS HORS R,2002
Vaudreuil-Dorion,45.3971509,-74.0254577,Jeep,233000,Jeep TJ,14995,Québec,Jeep TJ 4X4 ,2002
London,42.9537654,-81.2291529,Jeep,121936,Jeep Grand,2700,Ontario,Jeep Grand Cherokee Overland,2003
Toronto,43.653963,-79.387207,Jeep,215705,Jeep Liberty,995,Ontario,Jeep Liberty AUTO,2003
Surrey,49.1913033,-122.8491439,Jeep,160048,Jeep Liberty,6991,British Columbia,Jeep Liberty Limited Edition ,2004
Waterloo,43.466874,-80.524635,Jeep,89689,Jeep TJ,13995,Ontario,Jeep TJ Rubicon \ AS-IS SPECIAL \ LOW KMS! \ RARE \,2005
Victoria,48.4283182,-123.3649533,Jeep,161373,Jeep Grand,7995,British Columbia,Jeep Grand Cherokee LAREDO- CD Player AC 4X4,2005
Midland,44.750147,-79.885712,Jeep,244306,Jeep Wrangler,6995,Ontario,Jeep Wrangler 2dr Sport,2006
Whitby,43.899871,-78.940201,Jeep,211029,Jeep Liberty,1500,Ontario,Jeep Liberty Limited,2006
Medicine Hat,50.04303,-110.679016,Jeep,155973,Jeep Commander,9800,Alberta,Jeep Commander - Power Drivers Seat,2006
