city,lat,long,make,mileage,model,price,province,sepc,year
Blainville,45.67932,-73.87619,Kia,123000,Kia Amanti,4995,Québec,Kia Amanti AMANTI,2004
Blainville,45.67932,-73.87619,Kia,229000,Kia Sedona,3695,Québec,Kia Sedona 2006 Kia Sedona - LX FAITE VITE ........!!!!!!!!!!,2006
Saint-Constant,45.3724897,-73.5704589,Kia,79000,Kia Rio,3799,Québec,Kia Rio EX VEHICULE FONCTIONE TRES BIEN,2007
Mississauga,43.590338,-79.645729,Kia,144941,Kia Sportage,4745,Ontario,Kia Sportage LX,2007
Trois-Rivières,46.3507999,-72.5571257,Kia,44995,Kia Rondo,6778,Québec,Kia Rondo EX ,2008
London,42.9537654,-81.2291529,Kia,132817,Kia Rio,4988,Ontario,Kia Rio Rio5 EX -  Low Kms - Warranty,2008
Hamilton,43.2425289,-79.9470423,Kia,131000,Kia Rondo,4900,Ontario,Kia Rondo EX ,2008
Airdrie,51.28184845,-113.989991054108,Kia,147000,Kia Rio,4888,Alberta,Kia Rio EX,2009
Dorval,45.4453082,-73.7510888,Kia,132044,Kia Amanti,5290,Québec,Kia Amanti Berline AUTO TRACTION AVANT A,2009
Port Moody,49.2822243,-122.8293424,Kia,109258,Kia Rio,5500,British Columbia,Kia Rio SX,2009
Markham,43.854336,-79.326782,Kia,100875,Kia Rondo,7985,Ontario,Kia Rondo 4dr Wgn V6 EX Accident Free Finance Available,2009
Toronto,43.653963,-79.387207,Kia,127200,Kia Sportage,10381,Ontario,Kia Sportage LX,2009
Calgary,51.02532675,-114.049868485806,Kia,183960,Kia Sedona,5995,Alberta,Kia Sedona LX,2009
St-Léonard,45.58671,-73.5969488,Kia,122146,Kia Sportage,5949,Québec,Kia Sportage LX,2009
Edmonton,53.535411,-113.507996,Kia,155600,Kia Sportage,5995,Alberta,Kia Sportage LX. Accident Free.,2009
Laval,45.60558895,-73.7344173056906,Kia,145916,Kia Rio,3992,Québec,Kia Rio RIO5 EX automatique sièges chauffants,2009
Mission,49.1589351,-122.2835833,Kia,204009,Kia Sedona,9888,British Columbia,Kia Sedona EX,2009
Toronto,43.653963,-79.387207,Kia,233216,Kia Spectra5,4000,Ontario,Kia Spectra5 LX at,2009
Pitt Meadows,49.2207623,-122.6901534,Kia,104484,Kia Rio,6900,British Columbia,Kia Rio EX Great on Fuel ,2009
Ottawa,45.421106,-75.690308,Kia,147490,Kia Sorento,6888,Ontario,Kia Sorento LX,2009
Charlesbourg,46.8958611,-71.2910300583245,Kia,213439,Kia Rondo,3950,Québec,Kia Rondo LX,2009
Saint-Hyacinthe,45.627484,-72.940636,Kia,148151,Kia Rondo,3948,Québec,Kia Rondo EX Sieges Chauffants ,2009
Ottawa,45.421106,-75.690308,Kia,143000,Kia Sportage,6888,Ontario,Kia Sportage LX,2009
Ottawa,45.421106,-75.690308,Kia,130536,Kia Sportage,8956,Ontario,Kia Sportage 10th Anniversary A,2010
Trois-Rivières,46.3507999,-72.5571257,Kia,87824,Kia Forte,5955,Québec,Kia Forte EX ,2010
Victoriaville,46.0573705,-71.9536674,Kia,156214,Kia Forte,7295,Québec,Kia Forte SX  Cuir,2010
Toronto,43.653963,-79.387207,Kia,159853,Kia Soul,5980,Ontario,Kia Soul 4u Retro ,2010
Boisbriand,45.6130352,-73.8386827,Kia,135590,Kia Soul,5594,Québec,Kia Soul 2U BLUETOOTH,2010
St-Jérôme,45.775426,-74.013176,Kia,139575,Kia Soul,5577,Québec,Kia Soul 2.0L 2U BLUETOOTH MAGS ,2010
Laval,45.60558895,-73.7344173056906,Kia,86000,Kia Soul,6990,Québec,Kia Soul ,2010
Oshawa,43.91768,-78.862953,Kia,199684,Kia Sedona,8888,Ontario,Kia Sedona EX,2010
Brantford,43.1554354,-80.2665916,Kia,167820,Kia Forte,5982,Ontario,Kia Forte Koup SX ,2010
Trois-Rivières,46.3507999,-72.5571257,Kia,117766,Kia Forte,5793,Québec,Kia Forte KOUP EX ,2010
