city,lat,long,make,mileage,model,price,province,sepc,year
Toronto,43.653963,-79.387207,Lexus,463858,Lexus LX,6288,Ontario,Lexus LX 450,1997
Vaudreuil-Dorion,45.3971509,-74.0254577,Lexus,345000,Lexus LX,8995,Québec,Lexus LX 470 LAND CRUISER ,1998
St-Eustache,45.5646052,-73.8929714,Lexus,173877,Lexus SC,13995,Québec,Lexus SC 430 Base,2002
Toronto,43.653963,-79.387207,Lexus,123000,Lexus SC,14888,Ontario,Lexus SC 430 LEATHER I NO ACCIDENT,2002
New Westminster,49.205728,-122.9108651,Lexus,122833,Lexus SC,17998,British Columbia,Lexus SC 430 Premium Package,2003
Vancouver,49.2608724,-123.1139529,Lexus,148630,Lexus GS,12980,British Columbia,Lexus GS 430 - Local ,2003
Milton,43.513671,-79.882817,Lexus,123940,Lexus SC,14950,Ontario,Lexus SC 430,2003
Vaughan,43.820904,-79.5084,Lexus,130401,Lexus RX,8289,Ontario,Lexus RX 330 4-DR SUV 5A 4WD,2004
Richmond,49.163168,-123.137414,Lexus,115290,Lexus ES,9999,British Columbia,Lexus ES 330 5A,2004
Brossard,45.4554829,-73.4678904,Lexus,112756,Lexus SC,15666,Québec,Lexus SC 430 Convertible GPS TRES RARE - BAS KM,2005
Brossard,45.4554829,-73.4678904,Lexus,227601,Lexus ES,5999,Québec,Lexus ES 330 CUIR,2005
Calgary,51.02532675,-114.049868485806,Lexus,151745,Lexus IS,11888,Alberta,Lexus IS 350 Base ,2006
Brossard,45.4554829,-73.4678904,Lexus,245000,Lexus RX,7999,Québec,Lexus RX 330 AWD - CUIR -  TOIT OUVRANT,2006
London,42.9537654,-81.2291529,Lexus,103803,Lexus ES,8988,Ontario,Lexus ES 330 Base - Low KM,2006
Newmarket,44.056258,-79.461708,Lexus,121142,Lexus IS,10850,Ontario,Lexus IS 350 RWD 6A,2006
Vancouver,49.2608724,-123.1139529,Lexus,75700,Lexus GS,19980,British Columbia,Lexus GS 430 - 75,2006
Charlemagne,45.72551965,-73.4896922220162,Lexus,174589,Lexus SC,18895,Québec,Lexus SC 430 Convertible Tout a fait Impeccable !!!,2007
Waterloo,43.466874,-80.524635,Lexus,156500,Lexus RX,10384,Ontario,Lexus RX 350 Sunroof ,2007
Winnipeg,49.884017,-97.168579,Lexus,86473,Lexus LS,26999,Manitoba,Lexus LS 460 L  RARE EXECUTIVE PKG,2007
Calgary,51.02532675,-114.049868485806,Lexus,179911,Lexus IS,10995,Alberta,Lexus IS 250 AWD ,2007
North Vancouver,49.3207133,-123.0737831,Lexus,108400,Lexus GS,18980,British Columbia,Lexus GS 450h Base,2007
Nobleton (vaughan),43.9244361,-79.5672218,Lexus,256376,Lexus RX,7888,Ontario,Lexus RX 350 Navigation Reverse Camera,2007
London,42.9537654,-81.2291529,Lexus,187504,Lexus ES,7990,Ontario,Lexus ES 350,2007
Toronto,43.653963,-79.387207,Lexus,168000,Lexus ES,7950,Ontario,Lexus ES 350 2007 Lexus ES 350 - 4dr Sdn PREMIUM,2007
Toronto,43.653963,-79.387207,Lexus,126100,Lexus IS,11995,Ontario,Lexus IS 250 ,2007
Toronto,43.653963,-79.387207,Lexus,175000,Lexus RX,11995,Ontario,Lexus RX 400H PREMIUM AWD LEATHER,2008
New Westminster,49.205728,-122.9108651,Lexus,209813,Lexus RX,11995,British Columbia,Lexus RX 400H 4WD 4dr Hybrid,2008
Red Deer County,52.1040224,-113.7674734,Lexus,90349,Lexus IS,27967,Alberta,Lexus IS F SERIES 2 w,2008
Moncton,46.097995,-64.80011,Lexus,225000,Lexus RX,6995,New Brunswick,Lexus RX 400H Hybrid,2008
Ottawa,45.421106,-75.690308,Lexus,230400,Lexus RX,8995,Ontario,Lexus RX 350 AWD LEATHER SUNROOF WOOD TRIM.,2008
Toronto,43.653963,-79.387207,Lexus,153000,Lexus IS,8888,Ontario,Lexus IS 250,2008
Milton,43.513671,-79.882817,Lexus,170628,Lexus IS,9895,Ontario,Lexus IS IS 250 AWD LEATHER SUNROOF CERTIFIED,2008
Brossard,45.4554829,-73.4678904,Lexus,132672,Lexus IS,24999,Québec,Lexus IS F GPS,2008
Brossard,45.4554829,-73.4678904,Lexus,206995,Lexus RX,8666,Québec,Lexus RX 350 AWD - CUIR - TOIT,2008
Calgary,51.02532675,-114.049868485806,Lexus,211455,Lexus GS,8995,Alberta,Lexus GS 460 Base,2008
Richmond,49.163168,-123.137414,Lexus,159389,Lexus GX,23989,British Columbia,Lexus GX 470 5A,2009
Richmond Hill,43.880078,-79.439392,Lexus,162500,Lexus ES,8890,Ontario,Lexus ES 350 GREAT VALUE!,2009
Toronto,43.653963,-79.387207,Lexus,175000,Lexus RX,11995,Ontario,Lexus RX 350 ULTRA PREMIUM NAVIGATION,2009
Scarborough,43.773077,-79.257774,Lexus,118749,Lexus LS,19999,Ontario,Lexus LS 460,2009
Toronto,43.653963,-79.387207,Lexus,164000,Lexus RX,11995,Ontario,Lexus RX 350 PREMIUM NAVIGATION,2009
Langley,49.10647185,-122.550131156815,Lexus,187227,Lexus LX,29995,British Columbia,Lexus LX 570 2009 Lexus LX 570 - 4WD 4dr,2009
