city,lat,long,make,mileage,model,price,province,sepc,year
Manotick,45.232833,-75.688248,Lincoln,130147,Lincoln LS,8497,Ontario,Lincoln LS Leather,2000
Ottawa,45.421106,-75.690308,Lincoln,195044,Lincoln Navigator,950,Ontario,Lincoln Navigator Premium- AS IS - FOR PARTS,2003
North York,43.7708175,-79.4132998,Lincoln,214197,Lincoln Navigator,5800,Ontario,Lincoln Navigator Luxury,2006
St-Jean-Sur-Richelieu,45.3056879,-73.2533401,Lincoln,128379,Lincoln MKX,7911,Québec,Lincoln MKX AWD  BAS KILOMETRAGE  TRES PROPRE,2007
Edmonton,53.535411,-113.507996,Lincoln,88991,Lincoln MKZ,11900,Alberta,Lincoln MKZ w,2007
Charlesbourg,46.8958611,-71.2910300583245,Lincoln,238484,Lincoln MKX,4850,Québec,Lincoln MKX,2008
Sherwood Park,53.5256963,-113.2966313,Lincoln,193878,Lincoln MKX,8599,Alberta,Lincoln MKX AWD 4DR,2008
Montréal,45.4972159,-73.6103642,Lincoln,218401,Lincoln MKX,4994,Québec,Lincoln MKX AWD TOIT CUIR SIÈGES CHAUFFANTS,2008
Bolton,43.879548,-79.73826,Lincoln,149583,Lincoln MKX,6998,Ontario,Lincoln MKX AWD,2008
Ottawa,45.421106,-75.690308,Lincoln,167467,Lincoln MKX,8995,Ontario,Lincoln MKX AWD LIMITED LEATHER DUAL SUNROOF.,2009
Richmond,49.163168,-123.137414,Lincoln,76567,Lincoln MKS,11888,British Columbia,Lincoln MKS 2009 Lincoln MKS - 4dr Sdn FWD,2009
North York,43.7708175,-79.4132998,Lincoln,93699,Lincoln MKS,9800,Ontario,Lincoln MKS LIMITED,2009
Châteauguay,45.3619066,-73.7524319,Lincoln,142305,Lincoln MKS,6994,Québec,Lincoln MKS,2009
Edmonton,53.535411,-113.507996,Lincoln,186707,Lincoln MKX,9850,Alberta,Lincoln MKX AWD 4dr,2010
North York,43.7708175,-79.4132998,Lincoln,184190,Lincoln Navigator,17480,Ontario,Lincoln Navigator 4WD DVD REAR CAM-NAV BLUTHNORTH YORK,2010
North York,43.7708175,-79.4132998,Lincoln,127000,Lincoln MKX,11995,Ontario,Lincoln MKX AWD Navigation Panoramic Roof,2010
Edmonton,53.535411,-113.507996,Lincoln,147990,Lincoln MKX,13000,Alberta,Lincoln MKX ,2010
Verona,44.4784887,-76.6958284,Lincoln,96955,Lincoln MKS,13995,Ontario,Lincoln MKS GTDI,2010
Brantford,43.1554354,-80.2665916,Lincoln,192000,Lincoln MKS,7807,Ontario,Lincoln MKS Base - LEATHER,2010
Kingston,44.3054151,-76.4283781,Lincoln,181537,Lincoln MKX,7430,Ontario,Lincoln MKX,2010
Toronto,43.653963,-79.387207,Lincoln,155346,Lincoln MKT,9488,Ontario,Lincoln MKT AWD Pano Sunroof,2010
London,42.9537654,-81.2291529,Lincoln,173699,Lincoln MKZ,8995,Ontario,Lincoln MKZ ,2010
Edmonton,53.535411,-113.507996,Lincoln,141252,Lincoln MKX,14488,Alberta,Lincoln MKX 0,2010
Calgary,51.02532675,-114.049868485806,Lincoln,178951,Lincoln MKX,11995,Alberta,Lincoln MKX,2011
Olds,51.7923735,-114.1130367,Lincoln,63543,Lincoln MKT,16900,Alberta,Lincoln MKT EcoBoost,2011
London,42.9537654,-81.2291529,Lincoln,189228,Lincoln MKX,11995,Ontario,Lincoln MKX Fully Loaded,2011
Vaudreuil-Dorion,45.3971509,-74.0254577,Lincoln,143000,Lincoln MKX,14495,Québec,Lincoln MKX AWD 4DR ,2011
Toronto,43.653963,-79.387207,Lincoln,141840,Lincoln MKX,13991,Ontario,Lincoln MKX,2011
