city,lat,long,make,mileage,model,price,province,sepc,year
North York,43.7708175,-79.4132998,MINI,140445,MINI Cooper,3980,Ontario,MINI Cooper Hardtop 2dr CpeSunroofLeather5 Speed,2004
Calgary,51.02532675,-114.049868485806,MINI,96183,MINI Cooper,7995,Alberta,MINI Cooper Convertible S,2005
Coquitlam,49.2842958,-122.793281,MINI,81930,MINI Cooper,6787,British Columbia,MINI Cooper,2006
Burlington,43.3248924,-79.7966835,MINI,105764,MINI Cooper,5988,Ontario,MINI Cooper ,2007
North York,43.7708175,-79.4132998,MINI,208298,MINI Cooper,5980,Ontario,MINI Cooper Clubman S Coupe 6Speed Leather Sunroof  Super Clean!!,2008
Brossard,45.4554829,-73.4678904,MINI,164794,MINI Cooper,3777,Québec,MINI Cooper CUIR,2008
Calgary,51.02532675,-114.049868485806,MINI,189373,MINI Cooper,6995,Alberta,MINI Cooper Hardtop Classic,2008
Toronto,43.653963,-79.387207,MINI,231536,MINI Cooper,7999,Ontario,MINI Cooper Convertible S,2008
Newmarket,44.056258,-79.461708,MINI,130557,MINI Cooper,8395,Ontario,MINI Cooper Hardtop S,2008
Fort Macleod,49.7257568,-113.4053475,MINI,103225,MINI Cooper,9998,Alberta,MINI Cooper Clubman Sport Spring Special Sale,2008
Toronto,43.653963,-79.387207,MINI,93283,MINI Cooper,7498,Ontario,MINI Cooper Clubman,2009
Lévis,46.7910096,-71.1753274,MINI,124550,MINI Cooper,6995,Québec,MINI Cooper ,2009
Nanaimo,49.1637594,-123.9379719,MINI,92029,MINI Cooper,11995,British Columbia,MINI Cooper Hardtop S- HEATED LEATHER BLUETOOTH SUNROOF,2009
Trois-Rivières,46.3507999,-72.5571257,MINI,83000,MINI Cooper,6995,Québec,MINI Cooper CLASSIC,2009
Toronto,43.653963,-79.387207,MINI,132616,MINI Cooper,6950,Ontario,MINI Cooper S Clubman LEATHER HEATED SEATS,2009
Ottawa,45.421106,-75.690308,MINI,96989,MINI Cooper,7995,Ontario,MINI Cooper Hardtop Base,2009
Boisbriand,45.6130352,-73.8386827,MINI,176060,MINI Cooper,4904,Québec,MINI Cooper Hardtop S Automatique- Air Clim,2009
Boucherville,45.6050197,-73.4526144,MINI,108853,MINI Cooper,5995,Québec,MINI Cooper Hardtop S MANUELLE BLUETOOTH AIR CLIMATISÉ,2009
Mcmasterville,45.5492232,-73.2302916,MINI,94626,MINI Cooper,5895,Québec,MINI Cooper Classic Base ,2009
Beauport,46.8594456,-71.1932496,MINI,116194,MINI Cooper,4995,Québec Québec,MINI Cooper Classic Base,2009
Fergus,43.7072895,-80.3744336,MINI,106948,MINI Cooper,7999,Ontario,MINI Cooper Hardtop Bluetooth,2010
Georgetown,43.6502652,-79.9036058,MINI,128192,MINI COOPER,8950,Ontario,MINI COOPER S 50 Camden,2010
London,42.9537654,-81.2291529,MINI,169158,MINI Cooper,7995,Ontario,MINI Cooper Clubman  LEATHER ,2010
Drummondville,45.8864303,-72.5018764,MINI,106492,MINI Cooper,7990,Québec,MINI Cooper Classic ,2010
Okotoks,50.7253685,-113.975082,MINI,80065,MINI COOPER,13999,Alberta,MINI COOPER S 50 Mayfair SE,2010
Charlesbourg,46.8958611,-71.2910300583245,MINI,156176,MINI Cooper,7850,Québec,MINI Cooper Convertible 2dr S,2010
Toronto,43.653963,-79.387207,MINI,79867,MINI COOPER,12982,Ontario,MINI COOPER S CABRIO,2010
Squamish,49.6980743,-123.1558612,MINI,157110,MINI COOPER,8995,British Columbia,MINI COOPER S S,2010
Toronto,43.653963,-79.387207,MINI,146358,MINI Cooper,6995,Ontario,MINI Cooper Clubman AUTO,2010
Trois-Rivières,46.3507999,-72.5571257,MINI,135350,MINI Cooper,6950,Québec,MINI Cooper Hardtop 2dr Cpe S,2010
Milton,43.513671,-79.882817,MINI,129372,MINI Cooper,6895,Ontario,MINI Cooper 6 SPEED MANUAL PANORAMIC SUNROOF CERTIFIED 2YR WAR,2010
Saint-Basile-Le-Grand,45.526246,-73.2876515,MINI,74625,MINI Cooper,9989,Québec,MINI Cooper MINI COOPER DECAPOTABLE,2010
Granby,45.3990409,-72.721834,MINI,111611,MINI Countryman,10442,Québec,MINI Countryman Cooper S ALL4 - Automatique - Toit Panoramique - C,2011
Hamilton,43.2425289,-79.9470423,MINI,155300,MINI Cooper,8898,Ontario,MINI Cooper Convertible Base Convertible Cruise Keyless,2011
Etobicoke,43.67145915,-79.5524920661167,MINI,46239,MINI Cooper,11995,Ontario,MINI Cooper Clubman S,2011
Calgary,51.02532675,-114.049868485806,MINI,167536,MINI Cooper,10900,Alberta,MINI Cooper Countryman S   All4 Awd Leather Navigation,2011
Longueuil,45.5172382,-73.4467466,MINI,99000,MINI Cooper,8995,Québec,MINI Cooper Countryman CUIR ,2011
Stratford,46.2189935,-63.0876534061131,MINI,155685,MINI Cooper,5600,Prince Edward Island,MINI Cooper HARDTOP,2011
Brantford,43.1554354,-80.2665916,MINI,155685,MINI Cooper,5600,Ontario,MINI Cooper HARDTOP,2011
Windsor,42.30423,-83.029861,MINI,155685,MINI Cooper,5600,Ontario,MINI Cooper HARDTOP,2011
Niagara Falls,43.100983,-79.115295,MINI,110200,MINI Cooper,9800,Ontario,MINI Cooper LEATHER,2011
Fort Macleod,49.7257568,-113.4053475,MINI,154005,MINI Cooper,10889,Alberta,MINI Cooper S Countryman 4DR AWD,2011
Edmonton,53.535411,-113.507996,MINI,144760,MINI Cooper,11995,Alberta,MINI Cooper Countryman AWD 4dr S ALL4,2011
Toronto,43.653963,-79.387207,MINI,87293,MINI Cooper,11288,Ontario,MINI Cooper Countryman FWD 4dr S,2011
Brampton,43.6858146,-79.7599337,MINI,57957,MINI Cooper,10000,Ontario,MINI Cooper Countryman Clean CarFax,2011
St-Hyacinthe,45.627484,-72.940636,MINI,81000,MINI Cooper,9494,Québec,MINI Cooper S Sièges Chauffants Air Climatisé Mags,2011
Brantford,43.1554354,-80.2665916,MINI,134085,MINI Cooper,6995,Ontario,MINI Cooper Clubman CLUBMAN,2011
Windsor,42.30423,-83.029861,MINI,134085,MINI Cooper,6995,Ontario,MINI Cooper Clubman CLUBMAN,2011
St-Jérôme,45.775426,-74.013176,MINI,100445,MINI Cooper,6995,Québec,MINI Cooper Clubman CUIR TOIT PANO BLUETOOTH GARANTIE,2011
Burnaby,49.2433804,-122.9725459,MINI,81166,MINI Cooper,13800,British Columbia,MINI Cooper Countryman S,2011
London,42.9537654,-81.2291529,MINI,114652,MINI Cooper,8488,Ontario,MINI Cooper Hardtop Leather - Warranty Bonus,2011
Stratford,46.2189935,-63.0876534061131,MINI,134085,MINI Cooper,6995,Prince Edward Island,MINI Cooper Clubman CLUBMAN,2011
