city,lat,long,make,mileage,model,price,province,sepc,year
North Vancouver,49.3207133,-123.0737831,Mercedes-Benz,69000,Mercedes-Benz 190SL,129980,British Columbia,Mercedes-Benz 190SL Roadster,1960
Toronto,43.653963,-79.387207,Mercedes-Benz,32500,Mercedes-Benz 220,29888,Ontario,Mercedes-Benz 220 SE SUN ROOF,1961
Toronto,43.653963,-79.387207,Mercedes-Benz,82721,Mercedes-Benz 450,19888,Ontario,Mercedes-Benz 450 SL,1977
Vancouver,49.2608724,-123.1139529,Mercedes-Benz,232190,Mercedes-Benz SL-Class,14980,British Columbia,Mercedes-Benz SL-Class 380SL Roadster,1984
North Vancouver,49.3207133,-123.0737831,Mercedes-Benz,243500,Mercedes-Benz 560,12980,British Columbia,Mercedes-Benz 560 Series 560SL Roadster,1987
North Vancouver,49.3207133,-123.0737831,Mercedes-Benz,112000,Mercedes-Benz 560SL,44980,British Columbia,Mercedes-Benz 560SL Roadster,1988
Toronto,43.653963,-79.387207,Mercedes-Benz,104087,Mercedes-Benz 560SL,29900,Ontario,Mercedes-Benz 560SL ,1989
Toronto,43.653963,-79.387207,Mercedes-Benz,96414,Mercedes-Benz 500SL,10800,Ontario,Mercedes-Benz 500SL Cabriolet 2,1991
Brantford,43.1554354,-80.2665916,Mercedes-Benz,212000,Mercedes-Benz SLK,1995,Ontario,Mercedes-Benz SLK 2DR CPE,2000
Edmonton,53.535411,-113.507996,Mercedes-Benz,171008,Mercedes-Benz SL-Class,10500,Alberta,Mercedes-Benz SL-Class V 12,2000
Stratford,46.2189935,-63.0876534061131,Mercedes-Benz,212000,Mercedes-Benz SLK,1995,Prince Edward Island,Mercedes-Benz SLK 2DR CPE,2000
Concord,45.452798,-62.7905136,Mercedes-Benz,42000,Mercedes-Benz CLK-Class,18800,Nova Scotia,Mercedes-Benz CLK-Class CLK430 AMG,2000
Windsor,42.30423,-83.029861,Mercedes-Benz,212000,Mercedes-Benz SLK,1995,Ontario,Mercedes-Benz SLK 2DR CPE,2000
Concord,45.452798,-62.7905136,Mercedes-Benz,53507,Mercedes-Benz CLK-Class,16950,Nova Scotia,Mercedes-Benz CLK-Class CLK430 AMG only 53.507 kilometers!!,2000
Concord,45.452798,-62.7905136,Mercedes-Benz,65627,Mercedes-Benz CLK-Class,13950,Nova Scotia,Mercedes-Benz CLK-Class Premium package,2001
Lower Sackville,44.7733009,-63.6884669,Mercedes-Benz,88959,Mercedes-Benz S320,9995,Nova Scotia,Mercedes-Benz S320 LIKE NEW!! UNBELIEVABLE CONDITION!!,2001
Burnaby,49.2433804,-122.9725459,Mercedes-Benz,66500,Mercedes-Benz E-Class,10990,British Columbia,Mercedes-Benz E-Class E320 Wagon 7-seater 20inch wheels 66K,2001
Toronto,43.653963,-79.387207,Mercedes-Benz,175787,Mercedes-Benz E-Class,12800,Ontario,Mercedes-Benz E-Class ,2001
Concord,45.452798,-62.7905136,Mercedes-Benz,41457,Mercedes-Benz CL-Class,31800,Nova Scotia,Mercedes-Benz CL-Class CL500 AMG Sport Package only 41.457 kilometers!!,2001
Vaughan,43.820904,-79.5084,Mercedes-Benz,79500,Mercedes-Benz SLK,10000,Ontario,Mercedes-Benz SLK Only 79K kms,2002
Concord,45.452798,-62.7905136,Mercedes-Benz,34641,Mercedes-Benz CL-Class,32800,Nova Scotia,Mercedes-Benz CL-Class CL500 AMG Sport Package only 34.641 kilometers!!,2002
St-Jérôme,45.775426,-74.013176,Mercedes-Benz,212983,Mercedes-Benz CLK-Class,5977,Québec,Mercedes-Benz CLK-Class 320 SIÈGES CHAUFFANTS ,2002
North York,43.7708175,-79.4132998,Mercedes-Benz,196999,Mercedes-Benz G-Class,29800,Ontario,Mercedes-Benz G-Class G500,2002
Mission,49.1589351,-122.2835833,Mercedes-Benz,91419,Mercedes-Benz CLK-Class,13888,British Columbia,Mercedes-Benz CLK-Class Coupe - Power Windows,2002
Concord,45.452798,-62.7905136,Mercedes-Benz,30789,Mercedes-Benz S-Class,26950,Nova Scotia,Mercedes-Benz S-Class S430,2002
Gatineau,45.457241,-75.723267,Mercedes-Benz,110638,Mercedes-Benz SLK-Class,9988,Québec,Mercedes-Benz SLK-Class SLK230 CONVERTIBLE  - LEATHER HEATED SEAT,2002
Concord,45.452798,-62.7905136,Mercedes-Benz,32878,Mercedes-Benz S-Class,27950,Nova Scotia,Mercedes-Benz S-Class S430 AMG Sportline,2002
Mission,49.1589351,-122.2835833,Mercedes-Benz,199286,Mercedes-Benz M-Class,3999,British Columbia,Mercedes-Benz M-Class Base,2002
Laurier-Station,46.540207,-71.632919,Mercedes-Benz,84298,Mercedes-Benz SLK-Class,11948,Québec,Mercedes-Benz SLK-Class 2 PORTES 2 PLACES ,2002
Charlemagne,45.72551965,-73.4896922220162,Mercedes-Benz,102903,Mercedes-Benz SL-Class,21895,Québec,Mercedes-Benz SL-Class 500 AMG Package Excellente Condition !!!,2003
Gananoque,44.3352722,-76.1646638,Mercedes-Benz,110854,Mercedes-Benz CLK-Class,12900,Ontario,Mercedes-Benz CLK-Class 2003 Mercedes-Benz CLK-Class - 2dr Cabriolet 3.2L,2003
Calgary,51.02532675,-114.049868485806,Mercedes-Benz,66320,Mercedes-Benz SL-Class,21995,Alberta,Mercedes-Benz SL-Class 5.4L AMG,2003
Newmarket,44.056258,-79.461708,Mercedes-Benz,89000,Mercedes-Benz SL500,14500,Ontario,Mercedes-Benz SL500,2003
