city,lat,long,make,mileage,model,price,province,sepc,year
North York,43.7708175,-79.4132998,Nissan,146000,Nissan 300ZX,8899,Ontario,Nissan 300ZX ,1990
Chilliwack,49.157677,-121.9514307,Nissan,223550,Nissan Pathfinder,3488,British Columbia,Nissan Pathfinder SE Fixer-Upper,1996
Burnaby,49.2433804,-122.9725459,Nissan,84001,Nissan Skyline,15890,British Columbia,Nissan Skyline R34 RB25DET Neo6 Turbo 5MT 84K,1998
North Vancouver,49.3207133,-123.0737831,Nissan,271500,Nissan Pathfinder,2980,British Columbia,Nissan Pathfinder SE 4WD,1998
Burnaby,49.2433804,-122.9725459,Nissan,134134,Nissan Silvia,12990,British Columbia,Nissan Silvia S15 Spec-S Aero 5MT 134K,1999
Burnaby,49.2433804,-122.9725459,Nissan,117000,Nissan Skyline,16590,British Columbia,Nissan Skyline,1999
Burnaby,49.2433804,-122.9725459,Nissan,76000,Nissan Caravan,13990,British Columbia,Nissan Caravan,2001
Burnaby,49.2433804,-122.9725459,Nissan,113437,Nissan 350Z,10490,British Columbia,Nissan 350Z Fairlady 6MT 113K NO ACCIDENTS 1 YEAR LTD POWERTRA,2002
Calgary,51.02532675,-114.049868485806,Nissan,163963,Nissan Altima,5460,Alberta,Nissan Altima S AUTO LOCAL TRADE  AC POWER WINDOWS,2003
Brampton,43.6858146,-79.7599337,Nissan,150827,Nissan Altima,2000,Ontario,Nissan Altima S ,2003
Windsor,42.30423,-83.029861,Nissan,281948,Nissan Murano,2995,Ontario,Nissan Murano SL AWD,2004
Saint-Hubert,45.5042755,-73.4216976,Nissan,222300,Nissan Quest,1900,Québec,Nissan Quest SL 3.5L ,2004
Brantford,43.1554354,-80.2665916,Nissan,281948,Nissan Murano,2995,Ontario,Nissan Murano SL AWD,2004
Stratford,46.2189935,-63.0876534061131,Nissan,281948,Nissan Murano,2995,Prince Edward Island,Nissan Murano SL AWD,2004
Calgary,51.02532675,-114.049868485806,Nissan,158312,Nissan Murano,5950,Alberta,Nissan Murano SE,2004
Joliette,46.0528409,-73.4617483,Nissan,228321,Nissan Maxima,4394,Québec,Nissan Maxima SE,2004
Sherwood Park,53.5256963,-113.2966313,Nissan,90639,Nissan 350Z,14999,Alberta,Nissan 350Z 2DR ROADSTER Leather,2004
Boucherville,45.6050197,-73.4526144,Nissan,240953,Nissan Sentra,1495,Québec,Nissan Sentra 1.8 AIR CLIMATISÉ AUTOMATIQUE,2004
St-Léonard,45.58671,-73.5969488,Nissan,123360,Nissan Maxima,3488,Québec,Nissan Maxima SL - 8 PNEUS - CUIR - TOIT - BAS KM,2004
Toronto,43.653963,-79.387207,Nissan,201800,Nissan Murano,3950,Ontario,Nissan Murano 2004 Nissan Murano - 4dr SL AWD V6,2004
Windsor,42.30423,-83.029861,Nissan,180214,Nissan Altima,4999,Ontario,Nissan Altima 3.5 S Annual Clearance Sale!,2005
St-Esprit,45.898371,-73.666077,Nissan,152800,Nissan Altima,2999,Québec,Nissan Altima 2.5 S automatique camera de recul,2005
St-Esprit,45.898371,-73.666077,Nissan,134000,Nissan Altima,3799,Québec,Nissan Altima 2.5 S automatique,2005
Windsor,42.30423,-83.029861,Nissan,229093,Nissan Pathfinder,3500,Ontario,Nissan Pathfinder SE at,2005
Stratford,46.2189935,-63.0876534061131,Nissan,229093,Nissan Pathfinder,3500,Prince Edward Island,Nissan Pathfinder SE at,2005
Brantford,43.1554354,-80.2665916,Nissan,229093,Nissan Pathfinder,3500,Ontario,Nissan Pathfinder SE at,2005
Brampton,43.6858146,-79.7599337,Nissan,262892,Nissan X-Trail,2995,Ontario,Nissan X-Trail LE,2005
Toronto,43.653963,-79.387207,Nissan,187624,Nissan Maxima,4000,Ontario,Nissan Maxima 4Dr Sedan SE 5-Seat at,2005
Saskatoon,52.131802,-106.660767,Nissan,205681,Nissan Altima,3982,Saskatchewan,Nissan Altima 2.5 S,2005
Toronto,43.653963,-79.387207,Nissan,179983,Nissan Altima,2749,Ontario,Nissan Altima 2005 Nissan Altima - 4dr Sdn I4 Auto 2.5 S,2005
Toronto,43.653963,-79.387207,Nissan,237647,Nissan Altima,1999,Ontario,Nissan Altima 2005 Nissan Altima - 4dr Sdn V6 Auto 3.5 SE,2005
Laval,45.60558895,-73.7344173056906,Nissan,226259,Nissan Altima,1475,Québec,Nissan Altima 4dr Sdn I4 Auto 2.5 SL,2005
Ottawa,45.421106,-75.690308,Nissan,254519,Nissan Altima,2342,Ontario,Nissan Altima 2.5 S A,2005
Charlesbourg,46.8958611,-71.2910300583245,Nissan,216861,Nissan Murano,2250,Québec,Nissan Murano,2005
Granby,45.3990409,-72.721834,Nissan,182121,Nissan Frontier,6990,Québec,Nissan Frontier SE-V6-Attache remorque-Marchepieds,2005
Toronto,43.653963,-79.387207,Nissan,103000,Nissan Altima,4995,Ontario,Nissan Altima 2.5 S,2005
Cartierville,45.522935,-73.7372880500941,Nissan,185412,Nissan Maxima,4995,Québec,Nissan Maxima SL,2005
Clarington,43.96868585,-78.6513573827391,Nissan,174779,Nissan Murano,5364,Ontario,Nissan Murano SL ,2006
Sherbrooke,45.403271,-71.889038,Nissan,196593,Nissan Pathfinder,5000,Québec,Nissan Pathfinder SE 4WD,2006
Norwood,44.06098575,-66.0306609614125,Nissan,206474,Nissan Altima,6995,Nova Scotia,Nissan Altima 2.5 S - Winter Tires - Power Driver Seat,2006
Toronto,43.653963,-79.387207,Nissan,312007,Nissan Altima,500,Ontario,Nissan Altima 2.5 S,2006
Coquitlam,49.2842958,-122.793281,Nissan,166324,Nissan Titan,12587,British Columbia,Nissan Titan LE,2006
Coquitlam,49.2842958,-122.793281,Nissan,160209,Nissan Murano,6987,British Columbia,Nissan Murano SE Leather,2006
Calgary,51.02532675,-114.049868485806,Nissan,120557,Nissan Frontier,10490,Alberta,Nissan Frontier SE KING CAB V6 4WD NAVI,2006
Vancouver,49.2608724,-123.1139529,Nissan,106541,Nissan Maxima,5999,British Columbia,Nissan Maxima SE w,2006
Saskatoon,52.131802,-106.660767,Nissan,316756,Nissan Sentra,2844,Saskatchewan,Nissan Sentra 1.8,2006
Mississauga,43.590338,-79.645729,Nissan,271614,Nissan X-Trail,2488,Ontario,Nissan X-Trail XE,2006
Innisfil,44.3150892,-79.5461073,Nissan,175329,Nissan 350Z,10888,Ontario,Nissan 350Z Base,2006
Saskatoon,52.131802,-106.660767,Nissan,144324,Nissan Armada,7882,Saskatchewan,Nissan Armada SE,2006
Campbell River,50.023071,-125.2441538,Nissan,218760,Nissan X-Trail,7995,British Columbia,Nissan X-Trail,2006
Hamilton,43.2425289,-79.9470423,Nissan,155061,Nissan Murano,1988,Ontario,Nissan Murano SL ,2006
Brampton,43.6858146,-79.7599337,Nissan,188772,Nissan Altima,2995,Ontario,Nissan Altima S,2006
Delson,45.3749509,-73.5413403,Nissan,212125,Nissan FRONTIER,8999,Québec,Nissan FRONTIER 4WD KING CAB SE V6 NISMO,2006
Scarborough,43.773077,-79.257774,Nissan,225260,Nissan Altima,3995,Ontario,Nissan Altima 2.5 S,2007
Mission,49.1589351,-122.2835833,Nissan,228157,Nissan Murano,4888,British Columbia,Nissan Murano SL,2007
Hamilton,43.2425289,-79.9470423,Nissan,145667,Nissan Versa,4999,Ontario,Nissan Versa 1.8 S,2007
Scarborough,43.773077,-79.257774,Nissan,222158,Nissan Murano,3998,Ontario,Nissan Murano Premier Pre-Owned Sale: October 21-26 only!,2007
Saskatoon,52.131802,-106.660767,Nissan,182036,Nissan Frontier,12982,Saskatchewan,Nissan Frontier SE-V6,2007
