city,lat,long,make,mileage,model,price,province,sepc,year
Woodbridge,43.7848982,-79.5923855,Porsche,53105,Porsche 911,109988,Ontario,Porsche 911 T Targa,1972
Oakville,43.447436,-79.666672,Porsche,61438,Porsche 911,149900,Ontario,Porsche 911 Turbo ,1984
Montréal,45.4972159,-73.6103642,Porsche,146900,Porsche 944,23888,Québec,Porsche 944 Base,1984
Toronto,43.653963,-79.387207,Porsche,86967,Porsche 944,12800,Ontario,Porsche 944 ,1985
Richmond Hill,43.880078,-79.439392,Porsche,135026,Porsche 911,55999,Ontario,Porsche 911,1986
Laval,45.60558895,-73.7344173056906,Porsche,78866,Porsche 911,169000,Québec,Porsche 911,1987
Dollard-Des Ormeaux,45.48423,-73.8064547,Porsche,169588,Porsche 911,52987,Québec,Porsche 911 CARRERA WOW!,1988
Thornhill,43.8161477,-79.4245925,Porsche,36277,Porsche 911,449998,Ontario,Porsche 911 Turbo Slant Nose Cabriolet,1988
Woodbridge,43.7848982,-79.5923855,Porsche,68186,Porsche 930,174888,Ontario,Porsche 930 Turbo Coupe 89 5 SPEED!,1989
Ottawa,45.421106,-75.690308,Porsche,180634,Porsche 911,89900,Ontario,Porsche 911 Carrera Coupe,1989
North York,43.7708175,-79.4132998,Porsche,24818,Porsche 911,79800,Ontario,Porsche 911 CARRERA 4 CABRIOLET,1991
Montréal,45.4972159,-73.6103642,Porsche,88000,Porsche 911,159888,Québec,Porsche 911 Carrera Turbo,1991
Kelowna,49.889326,-119.498291,Porsche,61553,Porsche 911,117990,British Columbia,Porsche 911 American Roadster C2,1992
Vaughan,43.820904,-79.5084,Porsche,118076,Porsche 911,56910,Ontario,Porsche 911 CARRERA CONVERTIBLE,1995
Montréal,45.4972159,-73.6103642,Porsche,88500,Porsche 911,61888,Québec,Porsche 911 Carrera Cabriolet,1995
Woodbridge,43.7848982,-79.5923855,Porsche,122019,Porsche 911,69900,Ontario,Porsche 911 Carrera,1996
Ottawa,45.421106,-75.690308,Porsche,79485,Porsche 911,179900,Ontario,Porsche 911 Turbo Coupe,1996
Vaughan,43.820904,-79.5084,Porsche,54540,Porsche 911,147900,Ontario,Porsche 911,1997
North York,43.7708175,-79.4132998,Porsche,118200,Porsche 911,109800,Ontario,Porsche 911 Carrera 4S,1997
Kelowna,49.889326,-119.498291,Porsche,76625,Porsche 911,189990,British Columbia,Porsche 911 TURBO,1997
North York,43.7708175,-79.4132998,Porsche,30658,Porsche 911,255699,Ontario,Porsche 911 TURBO 993,1997
Montréal,45.4972159,-73.6103642,Porsche,68000,Porsche 911,148888,Québec,Porsche 911 Carrera 2S 1998 Porsche 911 ,1998
Winnipeg,49.884017,-97.168579,Porsche,119000,Porsche Boxster,12800,Manitoba,Porsche Boxster 5 Spd Manual w,1999
London,42.9537654,-81.2291529,Porsche,119883,Porsche 911,19995,Ontario,Porsche 911 Carrera 4 Coupe,1999
Saint-Basile-Le-Grand,45.526246,-73.2876515,Porsche,120423,Porsche Boxster,11989,Québec,Porsche Boxster ,1999
Longueuil,45.5172382,-73.4467466,Porsche,132778,Porsche Boxster,10995,Québec,Porsche Boxster 2dr Roadster Manual Cuir,1999
Sherbrooke,45.403271,-71.889038,Porsche,151236,Porsche Boxster,10998,Québec,Porsche Boxster 1999 Porsche Boxster - 2dr Roadster Manual,1999
Charlemagne,45.72551965,-73.4896922220162,Porsche,104450,Porsche Boxster,15795,Québec,Porsche Boxster S,2000
Vancouver,49.2608724,-123.1139529,Porsche,141760,Porsche 911,24980,British Columbia,Porsche 911 Carrera - IMS bearing updated,2000
Toronto,43.653963,-79.387207,Porsche,86238,Porsche Boxster,17800,Ontario,Porsche Boxster S ,2000
Saint-Basile-Le-Grand,45.526246,-73.2876515,Porsche,86862,Porsche 911,25489,Québec,Porsche 911 PRIX DE FIN DE SAISON,2001
