city,lat,long,make,mileage,model,price,province,sepc,year
Surrey,49.1913033,-122.8491439,Toyota,439222,Toyota Unlisted,5995,British Columbia,Toyota Unlisted Item,1988
Burnaby,49.2433804,-122.9725459,Toyota,142000,Toyota Soarer,9990,British Columbia,Toyota Soarer Twin Turbo 2.5GT-T L ,1993
Kelowna,49.889326,-119.498291,Toyota,145000,Toyota Supra,79990,British Columbia,Toyota Supra w-Sport Roof,1994
Burnaby,49.2433804,-122.9725459,Toyota,148220,Toyota Soarer,9490,British Columbia,Toyota Soarer 2.5GT-T 1JZ-GTE AT 148K,1994
Burnaby,49.2433804,-122.9725459,Toyota,64490,Toyota Aristo,9890,British Columbia,Toyota Aristo V300 Twin Turbo 2JZ-GTE AT 64K,1998
Toronto,43.653963,-79.387207,Toyota,147322,Toyota Camry,2495,Ontario,Toyota Camry 1998 Toyota Camry - 4dr Sdn CE Auto,1998
St-Léonard,45.58671,-73.5969488,Toyota,147022,Toyota Tercel,1488,Québec,Toyota Tercel CE - AUT - BAS KM - RARE,1999
Surrey,49.1913033,-122.8491439,Toyota,234000,Toyota Tacoma,6995,British Columbia,Toyota Tacoma,1999
Calgary,51.02532675,-114.049868485806,Toyota,144840,Toyota 4Runner,14995,Alberta,Toyota 4Runner Limited,2000
Burnaby,49.2433804,-122.9725459,Toyota,102000,Toyota Altezza,9590,British Columbia,Toyota Altezza,2000
Burnaby,49.2433804,-122.9725459,Toyota,106000,Toyota Mark,15390,British Columbia,Toyota Mark II,2000
Guelph,43.533783,-80.2306337,Toyota,128300,Toyota MR2,19995,Ontario,Toyota MR2 Spyder 2000 Toyota MR2 Spyder - 2dr Conv Manual,2000
Richmond,49.163168,-123.137414,Toyota,179500,Toyota Corolla,3395,British Columbia,Toyota Corolla low km-8 month warranty!,2001
Ottawa,45.421106,-75.690308,Toyota,272239,Toyota 4Runner,4300,Ontario,Toyota 4Runner SR5 V6 - AS-IS,2001
St-Léonard,45.58671,-73.5969488,Toyota,133605,Toyota Corolla,988,Québec,Toyota Corolla CE - MAN - AIR CLIM - BAS KM,2001
Brampton,43.6858146,-79.7599337,Toyota,329845,Toyota RAV4,3000,Ontario,Toyota RAV4,2001
Burnaby,49.2433804,-122.9725459,Toyota,81930,Toyota Mark,8990,British Columbia,Toyota Mark II Mark2 Grande G-TB 1JZ-GTE VVTi Turbo AT 81K,2001
Burnaby,49.2433804,-122.9725459,Toyota,93778,Toyota Mark,10990,British Columbia,Toyota Mark II Grande iR-V 1JZ Turbo AT 93K,2001
Burnaby,49.2433804,-122.9725459,Toyota,95000,Toyota Crown,8990,British Columbia,Toyota Crown,2001
Burnaby,49.2433804,-122.9725459,Toyota,69704,Toyota Alphard,11990,British Columbia,Toyota Alphard MZ G-edition Twin Sunroof Leather FULLY LOADED AT,2002
Burnaby,49.2433804,-122.9725459,Toyota,90000,Toyota Estima,8990,British Columbia,Toyota Estima,2002
Brampton,43.6858146,-79.7599337,Toyota,416672,Toyota Sienna,2995,Ontario,Toyota Sienna CE,2002
Saint-Hubert,45.5042755,-73.4216976,Toyota,223927,Toyota Corolla,1990,Québec,Toyota Corolla CE 1.8L ,2002
Exeter,43.3436295,-81.4798184,Toyota,234312,Toyota Corolla,950,Ontario,Toyota Corolla CE,2002
Vaughan,43.820904,-79.5084,Toyota,126591,Toyota Matrix,3800,Ontario,Toyota Matrix Base AS IS,2003
New Westminster,49.205728,-122.9108651,Toyota,180786,Toyota 4Runner,11998,British Columbia,Toyota 4Runner SR5,2003
Richmond,49.163168,-123.137414,Toyota,98872,Toyota Estima,7888,British Columbia,Toyota Estima,2003
Calgary,51.02532675,-114.049868485806,Toyota,212195,Toyota Camry,4995,Alberta,Toyota Camry,2003
Beauport,46.8594456,-71.1932496,Toyota,126368,Toyota Corolla,4995,Québec Québec,Toyota Corolla CE,2003
Edmonton,53.535411,-113.507996,Toyota,293568,Toyota Corolla,5000,Alberta,Toyota Corolla LE ,2003
New Westminster,49.205728,-122.9108651,Toyota,229539,Toyota Sienna,3995,British Columbia,Toyota Sienna LE,2003
Scarborough,43.773077,-79.257774,Toyota,221520,Toyota Camry,3995,Ontario,Toyota Camry LE,2003
Toronto,43.653963,-79.387207,Toyota,157630,Toyota Camry,4395,Ontario,Toyota Camry 4dr Sdn LE V6 Auto,2003
