city,lat,long,make,mileage,model,price,province,sepc,year
Burnaby,49.2433804,-122.9725459,Volkswagen,131827,Volkswagen Winnebago,24800,British Columbia,Volkswagen Winnebago RIALTA,1998
Campbell River,50.023071,-125.2441538,Volkswagen,312400,Volkswagen Golf,2995,British Columbia,Volkswagen Golf GLS,2000
Vaughan,43.820904,-79.5084,Volkswagen,168842,Volkswagen Passat,2700,Ontario,Volkswagen Passat GLS V6 AS IS,2001
St-Nicolas,47.1592368,-70.8595886,Volkswagen,180214,Volkswagen Cabrio,3998,Québec,Volkswagen Cabrio GLX,2002
Unionville,43.8686533,-79.3119155,Volkswagen,104542,Volkswagen Eurovan,44974,Ontario,Volkswagen Eurovan GLS,2003
Richmond,49.163168,-123.137414,Volkswagen,197500,Volkswagen Beetle,4995,British Columbia,Volkswagen Beetle GLS 2.0L at,2003
Edmonton,53.535411,-113.507996,Volkswagen,170888,Volkswagen Phaeton,7988,Alberta,Volkswagen Phaeton V8 AWD,2004
Ottawa,45.421106,-75.690308,Volkswagen,199347,Volkswagen Passat,1956,Ontario,Volkswagen Passat Wagon GLS 4Motion LEATHER SUNROOF HTD SEATS LOADED,2004
St-Esprit,45.898371,-73.666077,Volkswagen,186500,Volkswagen New,4999,Québec,Volkswagen New Beetle Convertible GLX turbo cuir convertible,2004
Whitby,43.899871,-78.940201,Volkswagen,193659,Volkswagen Golf,3200,Ontario,Volkswagen Golf GLS,2004
Charlesbourg,46.8958611,-71.2910300583245,Volkswagen,231731,Volkswagen Jetta,1200,Québec,Volkswagen Jetta Sedan GLS,2004
Edmonton,53.535411,-113.507996,Volkswagen,32808,Volkswagen R32,59995,Alberta,Volkswagen R32 Performance Upgrades ,2005
Whitby,43.899871,-78.940201,Volkswagen,234980,Volkswagen Touareg,3950,Ontario,Volkswagen Touareg V8,2005
Charlesbourg,46.8958611,-71.2910300583245,Volkswagen,198563,Volkswagen New,4550,Québec,Volkswagen New Beetle Convertible 2dr 2.5L,2006
Toronto,43.653963,-79.387207,Volkswagen,105000,Volkswagen Jetta,4995,Ontario,Volkswagen Jetta Sedan 4dr 2.5L Auto,2006
Boucherville,45.6050197,-73.4526144,Volkswagen,223377,Volkswagen Jetta,1995,Québec,Volkswagen Jetta Sedan 2.5L ,2006
Charlesbourg,46.8958611,-71.2910300583245,Volkswagen,122876,Volkswagen Jetta,2850,Québec,Volkswagen Jetta Sedan 2.5L,2006
Whitby,43.899871,-78.940201,Volkswagen,358114,Volkswagen Jetta,1850,Ontario,Volkswagen Jetta TDI,2006
Victoria,48.4283182,-123.3649533,Volkswagen,135476,Volkswagen Passat,7995,British Columbia,Volkswagen Passat 2.0T- Sunroof Heated Seats AC,2006
Vancouver,49.2608724,-123.1139529,Volkswagen,104669,Volkswagen Passat,7880,British Columbia,Volkswagen Passat 3.6L V6,2006
Whitby,43.899871,-78.940201,Volkswagen,222851,Volkswagen Golf,3500,Ontario,Volkswagen Golf GLS TDI,2006
Edmonton,53.535411,-113.507996,Volkswagen,284787,Volkswagen GTI,4906,Alberta,Volkswagen GTI GTI ,2007
North York,43.7708175,-79.4132998,Volkswagen,142166,Volkswagen Rabbit,5980,Ontario,Volkswagen Rabbit 3dr HB Manual,2007
Calgary,51.02532675,-114.049868485806,Volkswagen,188781,Volkswagen GTI,8888,Alberta,Volkswagen GTI 3-Door ,2007
