city,lat,long,make,mileage,model,price,province,sepc,year
Calgary,51.02532675,-114.049868485806,Volvo,257045,Volvo XC90,5995,Alberta,Volvo XC90,2004
Calgary,51.02532675,-114.049868485806,Volvo,224759,Volvo XC90,4995,Alberta,Volvo XC90 T6 A SR,2004
Boisbriand,45.6130352,-73.8386827,Volvo,115000,Volvo S60,2904,Québec,Volvo S60 2.5T  AWD  Turbo Automatique,2004
Toronto,43.653963,-79.387207,Volvo,172539,Volvo V70,1788,Ontario,Volvo V70 2.4 A SR AS IS ,2004
Vaughan,43.820904,-79.5084,Volvo,227000,Volvo S60,2700,Ontario,Volvo S60 AWD,2005
Brampton,43.6858146,-79.7599337,Volvo,210210,Volvo S40,1995,Ontario,Volvo S40 2.4L,2005
Lower Sackville,44.7733009,-63.6884669,Volvo,183588,Volvo XC70,6500,Nova Scotia,Volvo XC70 Cross Country ,2005
Boisbriand,45.6130352,-73.8386827,Volvo,139317,Volvo C70,7992,Québec,Volvo C70 Conv,2007
Toronto,43.653963,-79.387207,Volvo,242568,Volvo S40,2000,Ontario,Volvo S40 2.4i VEHICLE SOLD AS-IS! INQUIRE TODAY! CREDIT CAR,2007
Montréal,45.4972159,-73.6103642,Volvo,127676,Volvo S40,4789,Québec,Volvo S40 2.4i MAGS,2007
Dorval,45.4453082,-73.7510888,Volvo,136263,Volvo V50,6999,Québec,Volvo V50 2.4i,2007
Scarborough,43.773077,-79.257774,Volvo,221211,Volvo S60,4995,Ontario,Volvo S60 SE,2007
Toronto,43.653963,-79.387207,Volvo,242568,Volvo S40,2000,Ontario,Volvo S40 2.4i VEHICLE SOLD AS-IS! INQUIRE TODAY! CREDIT CAR,2007
North York,43.7708175,-79.4132998,Volvo,177489,Volvo C30,5980,Ontario,Volvo C30 COUpe 2.4i Sunroof,2008
St-Hyacinthe,45.627484,-72.940636,Volvo,180984,Volvo XC70,5994,Québec,Volvo XC70 AWD,2008
St-Esprit,45.898371,-73.666077,Volvo,180200,Volvo XC90,8299,Québec,Volvo XC90 xc90  cuir. toit bas kilo,2008
Nobleton (vaughan),43.9244361,-79.5672218,Volvo,196947,Volvo XC90,5499,Ontario,Volvo XC90,2008
Edmonton,53.535411,-113.507996,Volvo,137109,Volvo XC90,13900,Alberta,Volvo XC90 R V8 A SR ,2009
Edmonton,53.535411,-113.507996,Volvo,176827,Volvo XC90,13995,Alberta,Volvo XC90 V8,2009
Mississauga,43.590338,-79.645729,Volvo,168000,Volvo C30,6800,Ontario,Volvo C30 WE APPROVE ALL CREDIT,2009
Lasalle,45.4325141,-73.6292667,Volvo,136000,Volvo C30,6200,Québec,Volvo C30 2.4i,2009
Toronto,43.653963,-79.387207,Volvo,209809,Volvo XC90,10995,Ontario,Volvo XC90 Luxury ,2010
Surrey,49.1913033,-122.8491439,Volvo,204530,Volvo XC70,10251,British Columbia,Volvo XC70 T6,2010
Brantford,43.1554354,-80.2665916,Volvo,198877,Volvo XC60,9995,Ontario,Volvo XC60 T6 A LP ROOF,2010
Langley,49.10647185,-122.550131156815,Volvo,196672,Volvo XC60,10995,British Columbia,Volvo XC60 2010 Volvo XC60 - AWD 5dr 3.0L T6,2010
Ste-Julienne,45.9624229,-73.710013,Volvo,268530,Volvo V50,2722,Québec,Volvo V50 2.4i Premium A SR CUIR TOIT,2010
Edmonton,53.535411,-113.507996,Volvo,192595,Volvo XC90,13995,Alberta,Volvo XC90 R-design,2010
Calgary,51.02532675,-114.049868485806,Volvo,208426,Volvo XC90,13995,Alberta,Volvo XC90 Executive,2010
Saint-Hubert,45.5042755,-73.4216976,Volvo,276533,Volvo C70,3990,Québec,Volvo C70 T5 Premium ,2010
London,42.9537654,-81.2291529,Volvo,180248,Volvo XC90,11588,Ontario,Volvo XC90 3.2 AWD - Warranty Bonus,2010
Toronto,43.653963,-79.387207,Volvo,155341,Volvo XC90,13995,Ontario,Volvo XC90 PREMIUM PKG AWD 7 PASS TV-DVD BLIS SUNROOF,2010
Toronto,43.653963,-79.387207,Volvo,185000,Volvo XC60,10900,Ontario,Volvo XC60 3.2 Level 2. AWD.Panoramic Roof. Extra Clean,2011
Coldbrook,45.0680695,-64.5667948,Volvo,123765,Volvo XC60,16500,Nova Scotia,Volvo XC60 T6 Level III,2011
Toronto,43.653963,-79.387207,Volvo,174417,Volvo XC90,15995,Ontario,Volvo XC90 Level II ,2011
Toronto,43.653963,-79.387207,Volvo,134530,Volvo XC90,15995,Ontario,Volvo XC90 PREMIUM PKG AWD 7 PASSENGER LEATHER SUNROOF,2011
Lévis,46.7910096,-71.1753274,Volvo,111462,Volvo C70,14995,Québec,Volvo C70 T5,2011
North Bay,46.3092115,-79.4607617,Volvo,192030,Volvo XC60,8787,Ontario,Volvo XC60 Loaded,2011
Drummondville,45.8864303,-72.5018764,Volvo,249886,Volvo XC60,5900,Québec,Volvo XC60 3.2 Level 2,2011
Sherbrooke,45.403271,-71.889038,Volvo,109700,Volvo C70,12994,Québec,Volvo C70 T5 Convertible GPS Jamais Accidenté,2011
Drummondville,45.8864303,-72.5018764,Volvo,166719,Volvo C30,5925,Québec,Volvo C30 T5 LEVEL 1 ,2011
North York,43.7708175,-79.4132998,Volvo,110000,Volvo C30,9995,Ontario,Volvo C30 2dr Cpe Auto T5 Level II,2011
Waterloo,43.466874,-80.524635,Volvo,110000,Volvo XC60,13490,Ontario,Volvo XC60 3.2 niveau 2 Bluetooth ,2011
Waterloo,43.466874,-80.524635,Volvo,139500,Volvo S60,12995,Ontario,Volvo S60 T6 ,2011
Toronto,43.653963,-79.387207,Volvo,165000,Volvo XC60,12900,Ontario,Volvo XC60 T6 Level 3. Panoramic Roof. AWD.,2011
Brossard,45.4554829,-73.4678904,Volvo,101313,Volvo XC60,13995,Québec,Volvo XC60 FWD ,2012
Kitchener,43.453168,-80.494423,Volvo,129644,Volvo S60,13995,Ontario,Volvo S60 4dr Sdn T6,2012
Surrey,49.1913033,-122.8491439,Volvo,128650,Volvo S60,12500,British Columbia,Volvo S60 S60,2012
North York,43.7708175,-79.4132998,Volvo,130000,Volvo XC60,12995,Ontario,Volvo XC60 Leather Panoramic Roof,2012
Nobleton (vaughan),43.9244361,-79.5672218,Volvo,134126,Volvo XC60,13888,Ontario,Volvo XC60 T6,2012
Ottawa,45.421106,-75.690308,Volvo,74298,Volvo S60,13856,Ontario,Volvo S60 T5 LEATHER SUNROOF HTD SEATS BLUETOOTH ALLOYS,2012
Coquitlam,49.2842958,-122.793281,Volvo,106694,Volvo XC90,21887,British Columbia,Volvo XC90 3.2 Platinum Leather Upholstery,2012
Boisbriand,45.6130352,-73.8386827,Volvo,159660,Volvo XC60,10903,Québec,Volvo XC60 3.2 CUIR,2012
Edmonton,53.535411,-113.507996,Volvo,181006,Volvo XC60,14950,Alberta,Volvo XC60 2012 Volvo XC60 - AWD 5dr T6 R-Design Premier Plus,2012
Ste-Foy,46.7679035,-71.3082412,Volvo,118811,Volvo XC70,15944,Québec Québec,Volvo XC70 3.2 Premium plus Cuir,2012
Vancouver,49.2608724,-123.1139529,Volvo,90361,Volvo XC60,16991,British Columbia,Volvo XC60 T6 AWD A,2012
Montreal,45.4972159,-73.6103642,Volvo,114000,Volvo XC60,17777,Québec,Volvo XC60 T6 AWD,2012
Richmond,49.163168,-123.137414,Volvo,129044,Volvo S60,10995,British Columbia,Volvo S60 T5 A Level 2,2012
Laval,45.60558895,-73.7344173056906,Volvo,122905,Volvo C30,10998,Québec,Volvo C30 R Design ,2012
Calgary,51.02532675,-114.049868485806,Volvo,89835,Volvo XC90,23995,Alberta,Volvo XC90 3.2 - 7 passenger,2013
St. Catharines,43.167376,-79.241638,Volvo,155699,Volvo XC90,16690,Ontario,Volvo XC90 AWD ,2013
Thornhill,43.8161477,-79.4245925,Volvo,60450,Volvo C30,17800,Ontario,Volvo C30 T5 Premier M,2013
Edmonton,53.535411,-113.507996,Volvo,157000,Volvo XC60,17995,Alberta,Volvo XC60,2013
Caledonia,45.2773029,-62.3899848,Volvo,113163,Volvo XC90,19995,Nova Scotia,Volvo XC90 3.2 Premier Plus 3 row seating!,2013
Toronto,43.653963,-79.387207,Volvo,99330,Volvo XC90,22888,Ontario,Volvo XC90 AWD 7 PASS TV-DVD BLIS REAR AC BLUETOOTH ALLOYS,2013
Toronto,43.653963,-79.387207,Volvo,142690,Volvo XC90,19995,Ontario,Volvo XC90 Executive Lite ,2013
Gatineau,45.457241,-75.723267,Volvo,76876,Volvo C30,14888,Québec,Volvo C30 T5 SUNROOF LEATHER LOW KM,2013
